Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,SP_ROC,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5
1930,NA,211,NA,NA,NA,NA,NA,0.1688311688311688,41,235,170,22,0,0,148,NA,NA,NA,NA,NA,NA,10400,1200,6340,NA,NA,NA
1931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1932,282,182,2.3499999999999996,14.900000000000006,NA,NA,NA,0.05194805194805195,47,6240,135,57,1.26,23,78,NA,109,NA,NA,4,NA,10400,1200,6340,NA,2,NA
1933,176,259,0,0,NA,NA,NA,0.09232954545454546,135,464,124,26,0.1,72.5,98,NA,110,NA,NA,1,NA,10400,1200,6340,NA,1,NA
1934,249,181,0,3.220000000000002,NA,NA,NA,0.07294429708222812,31,490,150,81,3,28,69,NA,91,NA,NA,2,NA,10400,1200,6340,NA,1,NA
1935,199,285,0.5,3.5400000000000036,6,499.9683097118988,17,0.06796116504854369,92,1850,193,129,20,58,64,NA,106,NA,NA,3,NA,10400,1200,6340,NA,3,NA
1936,213,236,0.5,2,6,1.535779804888557,55,0.10555555555555556,50,254,186,68,12.100000000000001,53,118,NA,134,NA,NA,1,NA,10400,1200,6340,NA,1,NA
1937,256,229,10,38.5,6,134.9946592464659,17,0.0367063492063492,51,862,178,95,34.2,202,83,NA,153.5,136,NA,6,1,10400,1200,6340,NA,4,1
1938,227,202,19,98.20000000000002,4,262.99526733836643,71,0.05279554025250041,35,3060,167,48,176.1,627,119,152,145.5,142.5,1,15,3,10400,1200,6340,1,6,2
1939,260,218,1.25,9,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,10400,1200,6340,NA,NA,NA
1940,190,286,0.2,46.99999999999994,3,4.499738664478643,0,0.14285714285714282,74,39,212,100,6.32,22,112,NA,NA,NA,NA,NA,NA,10400,1200,6340,NA,NA,NA
1941,172,249,27.5,78,NA,NA,NA,0.04447007862893733,60,2130,189,79,147.4,730,110,NA,152,154,NA,30,1,10400,1200,6340,NA,12,1
1942,189,278,1.9,5.5,NA,NA,NA,0.07309005548442168,78,196,200,145,26,34,55,NA,NA,NA,NA,NA,NA,10400,1200,6340,NA,NA,NA
1943,287,209,13,52.80000000000007,NA,NA,NA,0.04878048780487805,50,2880,159,58,1.4,278.5,101,114,144,113,1,10,2,10400,1200,6340,1,3,1
1944,273,204,14,55.60000000000002,5,45.000658984993834,71,0.04013075760562455,44,1060,160,30,37,442.5,130,NA,148,144,NA,4,1,10400,1200,6340,NA,2,1
1945,198,239,2.1,9.5,13,249.992221472547,41,0.04301572617946346,62,175,177,66,13,45,111,NA,124,NA,NA,1,NA,10400,1200,6340,NA,1,NA
1946,150,255,1.4,3.6,NA,NA,NA,0.05555555555555555,71,2700,184,113,7.5,12,71,NA,131,NA,NA,2,NA,10400,1200,6340,NA,2,NA
1947,NA,273,NA,NA,NA,NA,NA,0.1290322580645161,103,14,170,131,3.5,12,39,NA,NA,NA,NA,NA,NA,10400,1200,6340,NA,NA,NA
1948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10400,1200,6340,NA,NA,NA
1949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,NA,223,NA,NA,23,11.99315900864107,69,0.1250000000000001,6,2.4,217,102,1.5,3.1,115,NA,NA,NA,NA,NA,NA,10400,1200,6340,NA,NA,NA
1951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,202,204,5.1,43,NA,NA,NA,0.07920792079207921,33,2540,171,78,0,100,93,106,106,136,1,9,2,10400,1200,6340,1,3,2
1953,284,187,0.1,0.9,NA,NA,NA,0.09000000000000004,79,86,108,68,8.8,20,40,NA,NA,NA,NA,NA,NA,10400,1200,6340,NA,NA,NA
1954,255,201,0.5,7.8,1,1.0857988051890322,44,0.11764705882352941,16,91,185,80,1.2,4.2,105,NA,NA,NA,NA,NA,NA,10400,1200,6340,NA,NA,NA
1955,109,361,0.2,0.5,4,1.3789854583382648,42,0.16666666666666663,97,2.7,264,174,0.23000000000000007,0.7,90,NA,NA,NA,NA,NA,NA,10400,1200,6340,NA,NA,NA
1956,197,263,0.4,1.2,NA,NA,NA,0.08641975308641967,142,2710,121,17,0,0,104,NA,117,NA,NA,1,NA,10400,1200,6340,NA,1,NA
1957,247,232,0.2,3.4,NA,NA,NA,0.16666666666666663,17,2.7,215,121,0.5,2.2,94,NA,NA,NA,NA,NA,NA,10400,1200,6340,NA,NA,NA
