comid,metric,p10,p25,p50,p75,p90,source,result_type
8933494,Peak_10,2158.02934416091,3019.5283764249702,3930.09300493817,5518.65251213375,6681.70330372525,model,predicted
8933494,Peak_2,729.527281160818,885.477788463561,1312.20983311642,1706.05591218828,2224.14806148634,model,predicted
8933494,Peak_5,1578.918,1903.608,2369.403,2788.1820000000002,4522.782,model,predicted
8933494,DS_Dur_WS,145.1125,180.333333333333,204.383333333333,229.2625,242.8975,model,predicted
8933494,DS_Mag_50,22.6471328620111,32.7641057238106,41.4978322650052,53.7035419196739,72.0887750345031,model,predicted
8933494,DS_Mag_90,38.9946816384217,51.8030608907058,68.4215397833036,97.0610332414788,135.210159531838,model,predicted
8933494,DS_Tim,284,291.8,304,312.135416666667,324.41,model,predicted
8933494,FA_Mag,58.7898705825575,87.4005316411093,123.113893796899,173.00344685303,245.481086293095,model,predicted
8933494,FA_Tim,10,23.40625,33.5,42,52.1916666666666,model,predicted
8933494,SP_Dur,46,56,67,77.6583333333334,90.265,model,predicted
8933494,SP_Mag,314.926661157221,498.341670984271,726.526935260027,935.413917515866,1172.91161258619,model,predicted
8933494,SP_Tim,219,230.364583333333,234.65,242.7625,251.3875,model,predicted
8933494,Wet_BFL_Dur,57.4125,70.2125,87.325,110,141.9,model,predicted
8933494,Wet_BFL_Mag_10,60.5216852235312,80.7936495434785,108.162372791947,136.653305943503,172.98848368981,model,predicted
8933494,Wet_BFL_Mag_50,154.384636356716,232.022610474264,293.153520491977,412.953926384902,528.77881014264,model,predicted
8933494,Wet_Tim,106.714166666667,129.95,147.8875,161.06875,172.41,model,predicted
