p10,p25,p50,p75,p90,metric,comid,result_type
175.7,229.75,267.5,294.25,311.20000000000005,DS_Dur_WS,343907,observed
260,267.25,281.5,297,305.9,DS_Tim,343907,observed
1.4,2,2.4,2.8,6.510000000000001,DS_Mag_50,343907,observed
2,2.475,3.4,22.599999999999966,58.560000000000045,DS_Mag_90,343907,observed
2.1,3,4.5,7.5,9,FA_Dur,343907,observed
7.669156158131699,10.53444485782521,34.497596214453054,83.49010033292743,234.65898929147505,FA_Mag,343907,observed
25.5,32.25,40.5,63,71.10000000000001,FA_Tim,343907,observed
0.12506626610559204,0.14944029850746268,0.18832556332556333,0.2534009302101407,0.2900328375507051,SP_ROC,343907,observed
18,26,33.5,40.75,48.900000000000006,SP_Dur,343907,observed
199.8,384,764,1020,1225.0000000000005,SP_Mag,343907,observed
233,240,246,256,263.9,SP_Tim,343907,observed
22,32,60,110,157,Wet_BFL_Dur,343907,observed
2.3,4.2,23,68.4,112,Wet_BFL_Mag_10,343907,observed
50,109,189,260,346,Wet_BFL_Mag_50,343907,observed
100,149,187,207,220,Wet_Tim,343907,observed
76.60000000000001,93,141,227,236.59999999999997,Peak_Tim_10,343907,observed
105,211,236,245.5,252,Peak_Tim_2,343907,observed
83.6,105,228,246,249,Peak_Tim_5,343907,observed
1,1,1,2,2.3999999999999986,Peak_Dur_10,343907,observed
1,2,6,16,25,Peak_Dur_2,343907,observed
1,1,2,4,5,Peak_Dur_5,343907,observed
1983.0000000000005,1983.0000000000005,1983.0000000000005,1983.0000000000005,1983.0000000000005,Peak_10,343907,observed
951,951,951,951,951,Peak_2,343907,observed
1398,1398,1398,1398,1398,Peak_5,343907,observed
1,1,1,1,2,Peak_Fre_10,343907,observed
1,1,2,3,6,Peak_Fre_2,343907,observed
1,1,1,2,3,Peak_Fre_5,343907,observed
