metric,status_code,status,alteration_type,median_in_iqr,comid
DS_Dur_WS,0,indeterminate,low,FALSE,8933376
DS_Tim,1,likely_unaltered,none_found,TRUE,8933376
DS_Mag_50,0,indeterminate,high,FALSE,8933376
DS_Mag_90,-1,likely_altered,high,FALSE,8933376
FA_Mag,1,likely_unaltered,none_found,FALSE,8933376
FA_Tim,-1,likely_altered,early,FALSE,8933376
SP_Dur,0,indeterminate,low,FALSE,8933376
SP_Mag,1,likely_unaltered,none_found,TRUE,8933376
SP_Tim,1,likely_unaltered,none_found,TRUE,8933376
Wet_BFL_Dur,0,indeterminate,high,FALSE,8933376
Wet_BFL_Mag_10,1,likely_unaltered,none_found,TRUE,8933376
Wet_BFL_Mag_50,1,likely_unaltered,none_found,TRUE,8933376
Wet_Tim,-1,likely_altered,early,FALSE,8933376
Peak_10,1,likely_unaltered,none_found,TRUE,8933376
Peak_2,1,likely_unaltered,none_found,TRUE,8933376
Peak_5,1,likely_unaltered,none_found,TRUE,8933376
