comid,metric,p10,p25,p50,p75,p90,source,result_type
22563070,Peak_Dur_2,1,1,3,7,14,inferred,predicted
22563070,Peak_Dur_5,1,1,2,3,5,inferred,predicted
22563070,Peak_Fre_2,1,1,2,3,5,inferred,predicted
22563070,Peak_Fre_5,1,1,1,2,3,inferred,predicted
22563070,Peak_10,456.82952623211503,1047.24749084218,1911.3069849095498,3198.8322170915503,5053.31020927925,model,predicted
22563070,Peak_2,66.4688760671012,141.147498448302,276.311221020182,511.446819829301,1018.70994158731,model,predicted
22563070,Peak_5,263.0585,614.7522,952.4931,1984.4679999999998,3333.4829999999997,model,predicted
22563070,DS_Dur_WS,85.025,120.9375,166.183333333334,217.7625,273.426666666667,model,predicted
22563070,DS_Mag_50,0,0.344771358998869,1.40600276917573,3.7235355851284,7.29637076452982,model,predicted
22563070,DS_Mag_90,0.565726453480241,1.76228465507798,4.49722505164776,9.31795694864049,14.9091954193789,model,predicted
22563070,DS_Tim,205.7,240.5,284.15,309.9,331.713333333333,model,predicted
22563070,FA_Dur,2,3,5,7,13.4,obs,predicted
22563070,FA_Mag,6.42704389305754,15.4934913693322,39.3215693014987,93.3421979003305,192.081331857164,model,predicted
22563070,FA_Tim,9.74166666666667,23,42.425,55.5125,64,model,predicted
22563070,Peak_Dur_10,1,1,1,2,3.4,obs,predicted
22563070,Peak_Fre_10,1,1,1,2,2,obs,predicted
22563070,SP_Dur,26.15,47.4833333333333,79.5625,122.925,160.016666666666,model,predicted
22563070,SP_Mag,21.8574240794013,56.8113147090552,208.726902556976,540.213984598038,937.905811613909,model,predicted
22563070,SP_ROC,0.048079693221675,0.0595744680851064,0.0759493670886077,0.106203007518797,0.177875188536953,obs,predicted
22563070,SP_Tim,136.370833333334,156.21875,182.275,214.7125,243.54,model,predicted
22563070,Wet_BFL_Dur,37.7166666666667,62.9,100.791666666667,144.5,188.45,model,predicted
22563070,Wet_BFL_Mag_10,0.809304181103734,2.34507570676741,5.22034404011196,8.70668843008999,13.9328735447696,model,predicted
22563070,Wet_BFL_Mag_50,4.20277071465679,7.45457022959615,14.3296880764779,26.741868072547,55.199051168922,model,predicted
22563070,Wet_Tim,31.5,57.5,83.5,99.2125,116.01,model,predicted
