Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,SP_ROC,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5
2000,172,351,0.16,0.2,NA,NA,NA,0.07407407407407414,161,3.8,190,33,0.372,1.4,157,NA,186,NA,NA,1,NA,26.6,3.8,21.6,NA,1,NA
2001,199,293,0.16,0.36200000000000015,NA,NA,NA,0.06559139784946233,85,3.6,208,51,0.22,0.89,157,NA,NA,NA,NA,NA,NA,26.6,3.8,21.6,NA,NA,NA
2002,144,323,0.13,0.24700000000000016,NA,NA,NA,0.08955223880597023,124,2.98,199,73,0.14200000000000002,0.63,126,NA,NA,NA,NA,NA,NA,26.6,3.8,21.6,NA,NA,NA
2003,218,300,0.22,0.3830000000000001,2,2.3531918680729387,38,0.103479036574487,72,2.61,228,127,0.276,1.12,101,NA,176,NA,NA,1,NA,26.6,3.8,21.6,NA,1,NA
2004,176,340,0.15,0.31,NA,NA,NA,0.10981912144702845,161,4.18,179,27,0.24,1.08,152,NA,169,NA,NA,7,NA,26.6,3.8,21.6,NA,1,NA
2005,242,294,0.33,1.3650000000000007,NA,NA,NA,0.06656764556102532,63,14.7,231,81,0.96,4.01,150,NA,187,NA,NA,52,NA,26.6,3.8,21.6,NA,3,NA
2006,113,260,0.4,1.006,NA,NA,NA,0.06797673407262442,43,20.1,217,47,1.87,8.56,170,91,149,150,1,65,5,26.6,3.8,21.6,1,3,2
2007,197,311,0.11,0.16,NA,NA,NA,0.07999999999999996,143,1.24,168,161,0.16,0.31,7,NA,NA,NA,NA,NA,NA,26.6,3.8,21.6,NA,NA,NA
2008,137,346,0.1,0.17,NA,NA,NA,0.16964285714285718,146,3.49,200,58,0.197,0.98,142,NA,NA,NA,NA,NA,NA,26.6,3.8,21.6,NA,NA,NA
2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.95,205,88,0.2,0.715,117,NA,NA,NA,NA,NA,NA,26.6,3.8,21.6,NA,NA,NA
2010,180,338,0.3,0.5209999999999999,2,1.440007561111989,12,0.08452380952380947,119,11.4,219,61,0.42,2.21,158,NA,200.5,NA,NA,37,NA,26.6,3.8,21.6,NA,2,NA
2011,NA,287,NA,NA,NA,NA,NA,0.05650055650055644,66,19.1,221,69,1.108,8.62,152,NA,171.5,200,NA,81,1,26.6,3.8,21.6,NA,2,1
2012,58,337,0,0.03,NA,NA,NA,0.12499999999999993,142,0.72,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.6,3.8,21.6,NA,NA,NA
2013,NA,314,NA,NA,NA,NA,NA,0.12435897435897433,129,0.87,185,156,0.06,0.2,29,NA,NA,NA,NA,NA,NA,26.6,3.8,21.6,NA,NA,NA
2014,NA,347,NA,NA,NA,NA,NA,0.11805555555555557,208,0.41,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.6,3.8,21.6,NA,NA,NA
2015,171,323,0.05,0.32,NA,NA,NA,0.25000000000000006,16,0.33,307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.6,3.8,21.6,NA,NA,NA
2016,186,332,0.14,2.495,NA,NA,NA,0.08856209150326805,108,8.97,224,96,0.725,2.2300000000000004,128,NA,191,NA,NA,15,NA,26.6,3.8,21.6,NA,3,NA
2017,222,292,0.4,0.77,NA,NA,NA,0.05505873436907914,72,42.7,220,68,3.292,17.799999999999997,152,203,144.5,184.5,20,111,36,26.6,3.8,21.6,3,4,4
2018,205,334,0.2,0.8,5,2.281764183119776,46,0.06451612903225812,140,9.38,194,46,0.41,1.48,148,NA,180,188,NA,32,1,26.6,3.8,21.6,NA,3,1
2019,NA,278,NA,NA,NA,NA,NA,0.05922865013774104,67,28.2,211,38,2.919,9.57,173,206,157.5,203,2,68,7,26.6,3.8,21.6,1,2,2
2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.6,3.8,21.6,NA,NA,NA
