Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,SP_ROC,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5
1902,223,253,20,54,3,88.98215571389194,41,0.18967452300785634,60,560,193,60,132,320,133,NA,NA,NA,NA,NA,NA,9762,3430,6886.000000000001,NA,NA,NA
1903,248,242,12,36,7,59.99730601804148,24,0.14634146341463414,56,3120,186,76,84,270,110,NA,NA,NA,NA,NA,NA,9762,3430,6886.000000000001,NA,NA,NA
1904,170,278,23.5,49,2,35.99705338883009,45,0.14846014492753623,73,470,205,81,54,170,124,NA,NA,NA,NA,NA,NA,9762,3430,6886.000000000001,NA,NA,NA
1905,180,284,11,34.19999999999999,7,564.9466512633536,10,0.11538461538461539,61,690,223,141,100,220,82,NA,NA,NA,NA,NA,NA,9762,3430,6886.000000000001,NA,NA,NA
1906,141,290,20,34,3,57.908035939528084,55,0.1038961038961039,47,840,243,145,154,394,98,NA,162,NA,NA,1,NA,9762,3430,6886.000000000001,NA,1,NA
1907,192,234,36,132,3,121.99584166624044,35,0.06538461538461539,56,4860,178,113,168.00000000000003,730,65,NA,169,NA,NA,6,NA,9762,3430,6886.000000000001,NA,3,NA
1908,210,246,7,34,5,191.9809897164417,25,0.13392857142857142,86,314,160,100,66,184.5,60,NA,NA,NA,NA,NA,NA,9762,3430,6886.000000000001,NA,NA,NA
1909,183,241,18,50,6,10.019249623442102,21,0.07804054054054055,58,1080,183,93,259,662,90,NA,122.5,NA,NA,7,NA,9762,3430,6886.000000000001,NA,4,NA
1910,217,246,8,27,NA,NA,NA,0.11139971139971139,70,1700,176,118,58,113,58,NA,NA,NA,NA,NA,NA,9762,3430,6886.000000000001,NA,NA,NA
1911,239,210,23,112.80000000000007,NA,NA,NA,0.053691275167785234,49,13300,161,64,300,673.5,97,156,137.5,156,2,11,3,9762,3430,6886.000000000001,1,4,1
1912,160,298,3.4,11.199999999999989,NA,NA,NA,0.05999999999999996,55,105,243,160,31.9,60,83,NA,NA,NA,NA,NA,NA,9762,3430,6886.000000000001,NA,NA,NA
1913,187,258,0,24,8,5.477565401585167,30,0.08333333333333333,80,93,178,86,17,30,92,NA,NA,NA,NA,NA,NA,9762,3430,6886.000000000001,NA,NA,NA
1914,210,256,13,148.99999999999994,14,39.99840459873187,44,0.04683811394071072,109,3520,147,68,141.1,547,79,116,108,116,1,10,3,9762,3430,6886.000000000001,1,5,3
1915,174,278,27,67,NA,NA,NA,0.05555555555555555,58,730,220,120,224.8,432,100,NA,130,NA,NA,4,NA,9762,3430,6886.000000000001,NA,3,NA
1916,210,232,38,94,2,379.9931100802633,64,0.03086890243902439,56,630,176,90,414,730,86,108,101,108,1,2,1,9762,3430,6886.000000000001,1,2,1
1917,303,189,18,83.40000000000003,10,57.99313334240055,35,0.04503889440582588,38,7660,151,75,50,82,76,NA,142,144.5,NA,6,3,9762,3430,6886.000000000001,NA,3,2
1918,260,213,25,78.29999999999998,NA,NA,NA,0.041841736694677875,46,3620,167,41,25,202,126,NA,162,NA,NA,2,NA,9762,3430,6886.000000000001,NA,1,NA
1919,198,224,1.1,18,8,237.99600698585596,49,0.047619047619047616,55,348,169,62,60,195,107,NA,133,NA,NA,1,NA,9762,3430,6886.000000000001,NA,1,NA
1920,201,263,8.5,95,NA,NA,NA,0.06274586939417781,61,1060,202,146,25,96,56,NA,NA,NA,NA,NA,NA,9762,3430,6886.000000000001,NA,NA,NA
1921,233,209,4.2,29,5,259.98536283542825,47,0.061224489795918366,41,555,168,70,33,202,98,NA,115,NA,NA,2,NA,9762,3430,6886.000000000001,NA,2,NA
1922,239,160,15,248.00000000000026,NA,NA,NA,0.04390243902439024,10,1420,150,74,72.4,222.5,76,131,87,131,1,8,3,9762,3430,6886.000000000001,1,3,1
1923,225,247,6.5,20.19999999999999,NA,NA,NA,0.05084745762711865,54,1640,193,160,66.9,182.5,33,NA,NA,NA,NA,NA,NA,9762,3430,6886.000000000001,NA,NA,NA
1924,153,246,0,0.4,NA,NA,NA,0.07936507936507936,65,540,181,75,15.4,22,106,NA,NA,NA,NA,NA,NA,9762,3430,6886.000000000001,NA,NA,NA
1925,188,294,8,15,NA,NA,NA,0.06066176470588235,64,455,230,197,14.600000000000001,85,33,NA,NA,NA,NA,NA,NA,9762,3430,6886.000000000001,NA,NA,NA
1926,155,238,1.8,17.599999999999994,NA,NA,NA,0.07234623880944077,45,6970,193,77,136,198,116,NA,162,189,NA,4,1,9762,3430,6886.000000000001,NA,2,1
1927,190,249,5.5,42,NA,NA,NA,0.038461538461538464,60,700,189,162,9,282.5,27,NA,137,138,NA,2,1,9762,3430,6886.000000000001,NA,1,1
1928,169,253,1.2,16,10,52.9833018407145,31,0.07142857142857142,65,1230,188,115,44.60000000000001,130,73,NA,NA,NA,NA,NA,NA,9762,3430,6886.000000000001,NA,NA,NA
1929,182,272,0.1,3.9,23,155.9886012015117,43,0.08571428571428572,107,780,165,109,29,48,56,NA,125,NA,NA,1,NA,9762,3430,6886.000000000001,NA,1,NA
1930,256,190,1.35,43,32,44.00132368258005,74,0.067816091954023,31,2640,159,71,26,125,88,NA,NA,NA,NA,NA,NA,9762,3430,6886.000000000001,NA,NA,NA
1931,206,230,0,3.35,15,39.97474753056059,47,0.07846153846153847,63,82,167,87,10,36,80,NA,NA,NA,NA,NA,NA,9762,3430,6886.000000000001,NA,NA,NA
1932,306,161,7,74,NA,NA,NA,0.05226480836236934,26,3360,135,65,16.8,331,70,NA,85.5,NA,NA,3,NA,9762,3430,6886.000000000001,NA,2,NA
1933,168,263,0,3,28,8.925299116410338,62,0.06061224489795918,91,82,172,71,14,58,101,NA,NA,NA,NA,NA,NA,9762,3430,6886.000000000001,NA,NA,NA
1934,255,196,4.4,37.599999999999994,NA,NA,NA,0.04790419161676647,44,1470,152,87,68,126,65,NA,92,NA,NA,1,NA,9762,3430,6886.000000000001,NA,1,NA
1935,195,267,8,17.599999999999994,5,543.9579542667433,49,0.04301572617946346,73,1840,194,109,59.6,159,85,NA,189,NA,NA,1,NA,9762,3430,6886.000000000001,NA,1,NA
1936,222,260,6.5,64.60000000000002,NA,NA,NA,0.03571428571428571,69,604,191,95,56.6,218,96,NA,135,NA,NA,1,NA,9762,3430,6886.000000000001,NA,1,NA
1937,186,246,5,36,NA,NA,NA,0.03925874556942518,68,1820,178,62,234.6,479,116,NA,132,NA,NA,2,NA,9762,3430,6886.000000000001,NA,2,NA
1938,237,205,19,137.60000000000002,NA,NA,NA,0.044444444444444446,38,4830,167,101,62,299,66,133,142,132,1,10,2,9762,3430,6886.000000000001,1,6,1
1939,188,267,0,4.9300000000000015,3,39.994150429154544,60,0.05555555555555555,103,426,164,88,27.700000000000003,50,76,NA,NA,NA,NA,NA,NA,9762,3430,6886.000000000001,NA,NA,NA
1940,209,231,12,54.20000000000002,1,95.99124048921489,71,0.0392156862745098,45,1690,186,97,192.4,448,89,NA,125.5,NA,NA,4,NA,9762,3430,6886.000000000001,NA,2,NA
1941,175,251,22,97.6,NA,NA,NA,0.04331550802139038,62,4160,189,115,349.2,976,74,NA,153,NA,NA,10,NA,9762,3430,6886.000000000001,NA,5,NA
