Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,SP_ROC,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5
1976,78,367,3.4,4.159999999999999,NA,NA,NA,0.07358084476728546,58,17,309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3976.000000000001,123,3114.0000000000005,NA,NA,NA
1977,NA,366,NA,NA,2,13.94496791364022,17,0.0804812834224599,40,10,326,248,3.5,4.3,78,NA,NA,NA,NA,NA,NA,3976.000000000001,123,3114.0000000000005,NA,NA,NA
1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,245,358,20,49,NA,NA,NA,0.04412719013627513,88,115,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3976.000000000001,123,3114.0000000000005,NA,NA,NA
1980,166,321,17,28,NA,NA,NA,0.14971070395371264,26,1850,295,58,49.7,970,237,NA,255,NA,NA,56,NA,3976.000000000001,123,3114.0000000000005,NA,1,NA
1981,222,378,16,43.80000000000001,2,37.744906675616605,48,0.047619047619047616,184,32,194,73,16,19,121,NA,NA,NA,NA,NA,NA,3976.000000000001,123,3114.0000000000005,NA,NA,NA
1982,269,319,22,41,3,40.00672978837991,44,0.17552289429055962,27,955,292,70,35.9,578,222,360,298.5,360,1,71,1,3976.000000000001,123,3114.0000000000005,1,4,1
1983,236,335,24,31,10,66.98608955911251,29,0.1876247342617901,54,3310,281,59,53.8,2190,222,NA,241,277,NA,85,2,3976.000000000001,123,3114.0000000000005,NA,1,1
1984,NA,339,NA,NA,5,56.90222295719995,54,0.034482758620689655,31,64,308,103,22,28,205,NA,85,NA,NA,1,NA,3976.000000000001,123,3114.0000000000005,NA,1,NA
1985,221,376,18,46,NA,NA,NA,0.041666666666666664,186,37,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3976.000000000001,123,3114.0000000000005,NA,NA,NA
1986,NA,304,NA,NA,NA,NA,NA,0.1391304347826087,43,1500,261,40,32.9,58,221,NA,224,NA,NA,50,NA,3976.000000000001,123,3114.0000000000005,NA,4,NA
1987,NA,243,NA,NA,NA,NA,NA,0.043478260869565216,11,39,232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3976.000000000001,123,3114.0000000000005,NA,NA,NA
1988,NA,381,NA,NA,NA,NA,NA,0.041666666666666664,136,32,245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3976.000000000001,123,3114.0000000000005,NA,NA,NA
1989,NA,382,NA,NA,NA,NA,NA,0.058823529411764705,13,118,369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3976.000000000001,123,3114.0000000000005,NA,NA,NA
1990,NA,378,NA,NA,NA,NA,NA,0.058823529411764705,377,123,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,3976.000000000001,123,3114.0000000000005,NA,1,NA
1991,NA,282,NA,NA,NA,NA,NA,0.041666666666666664,26,27,256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3976.000000000001,123,3114.0000000000005,NA,NA,NA
