p10,p25,p50,p75,p90,metric,comid,result_type
98.2,109,145,209,227.9,DS_Dur_WS,8933706,observed
268,289,306,344.25,371.6,DS_Tim,8933706,observed
91.505,216.875,321,430.5,458.7,DS_Mag_50,8933706,observed
138.36,337.95000000000005,488.75,541.3,611.9800000000001,DS_Mag_90,8933706,observed
3.4,4,4,4,5.799999999999999,FA_Dur,8933706,observed
172.59830097491255,247.00971280288326,653.9615093560266,1049.9800370471253,1091.9543672527834,FA_Mag,8933706,observed
17,20,24,33,50.399999999999984,FA_Tim,8933706,observed
0.010170822212149135,0.015726619732037688,0.02527152253069096,0.037382532408427295,0.05142836314986021,SP_ROC,8933706,observed
34.9,38.5,65,106,132.10000000000002,SP_Dur,8933706,observed
749.1,894.75,1230,2550,3605.000000000001,SP_Mag,8933706,observed
210.7,234.25,240.5,245.75,259.20000000000005,SP_Tim,8933706,observed
91,114,124,153,160,Wet_BFL_Dur,8933706,observed
230.6,323.85,450,490,586,Wet_BFL_Mag_10,8933706,observed
451,528.75,709,1410,2380,Wet_BFL_Mag_50,8933706,observed
43,59,100,155,157,Wet_Tim,8933706,observed
102.50000000000001,119.75,148.5,177.25,194.5,Peak_Tim_10,8933706,observed
91.6,114.5,169,228,234.59999999999997,Peak_Tim_2,8933706,observed
119.05000000000001,161.125,186.25,190.5,195,Peak_Tim_5,8933706,observed
2.7000000000000015,5.25,9.5,13.75,16.3,Peak_Dur_10,8933706,observed
1,3,33,63,102.99999999999997,Peak_Dur_2,8933706,observed
1.3,1.75,3.5,15.25,33.70000000000001,Peak_Dur_5,8933706,observed
4927.000000000001,4927.000000000001,4927.000000000001,4927.000000000001,4927.000000000001,Peak_10,8933706,observed
1770,1770,1770,1770,1770,Peak_2,8933706,observed
3880.000000000001,3880.000000000001,3880.000000000001,3880.000000000001,3880.000000000001,Peak_5,8933706,observed
1.1,1.25,1.5,1.75,1.9,Peak_Fre_10,8933706,observed
1,1,2,4,5.399999999999999,Peak_Fre_2,8933706,observed
1,1,1.5,3,4.800000000000001,Peak_Fre_5,8933706,observed
