p10,p25,p50,p75,p90,metric,comid,result_type
73.4,109,155.5,204.75,257.6,DS_Dur_WS,22515812,observed
192.6,218.25,272.5,327,355.8,DS_Tim,22515812,observed
2.44,5.4,8.9,42.449999999999996,61.83,DS_Mag_50,22515812,observed
4.32,9.25,15,49.135000000000005,68.16100000000002,DS_Mag_90,22515812,observed
2,3,4,5,6,FA_Dur,22515812,observed
13.599376757080401,24.99801560046588,54.999541878102725,160.9862088487895,293.7678374460463,FA_Mag,22515812,observed
1.5999999999999996,6,13,31,45.8,FA_Tim,22515812,observed
0.040862239795303845,0.05555555555555565,0.08340579710144927,0.1116452991452992,0.17205782729975794,SP_ROC,22515812,observed
15.200000000000003,39,92.5,140.25,192.90000000000003,SP_Dur,22515812,observed
58.80000000000001,189.25,765,2122.5,4354,SP_Mag,22515812,observed
117.5,149.25,172,193.25,222.70000000000002,SP_Tim,22515812,observed
32,69,97,137,177,Wet_BFL_Dur,22515812,observed
2.3499999999999996,4.5,6.5,35.28,65.83,Wet_BFL_Mag_10,22515812,observed
4.1,7.6,13,67.6,81.7,Wet_BFL_Mag_50,22515812,observed
27,46,64,84,114,Wet_Tim,22515812,observed
95.6,108,134,146.5,160.4,Peak_Tim_10,22515812,observed
72.3,103.75,122.5,139.125,150,Peak_Tim_2,22515812,observed
65,98,132,139,150.8,Peak_Tim_5,22515812,observed
1,1,1,1,1.8000000000000007,Peak_Dur_10,22515812,observed
1,1,2,3,4,Peak_Dur_2,22515812,observed
1,1,1,1,2.8000000000000007,Peak_Dur_5,22515812,observed
6522,6522,6522,6522,6522,Peak_10,22515812,observed
2075,2075,2075,2075,2075,Peak_2,22515812,observed
4130,4130,4130,4130,4130,Peak_5,22515812,observed
1,1,1,1,1.8000000000000007,Peak_Fre_10,22515812,observed
1,1,2,3,3.900000000000002,Peak_Fre_2,22515812,observed
1,1,1,1,2.8000000000000007,Peak_Fre_5,22515812,observed
