p10,p25,p50,p75,p90,metric,comid,result_type
32.7,48.5,116,165,215.30000000000013,DS_Dur_WS,8212787,observed
240.10000000000002,330.25,360.5,380,405.9,DS_Tim,8212787,observed
21.700000000000003,25.075,64.92500000000001,140.75,304.8500000000001,DS_Mag_50,8212787,observed
25.619999999999997,28.075000000000003,93.1,343.225,538.6400000000002,DS_Mag_90,8212787,observed
2,3.25,5,7.5,9.3,FA_Dur,8212787,observed
67.96962629290518,165.22612951155625,281.82090818907386,437.0294432370956,540.5658619001349,FA_Mag,8212787,observed
0.7000000000000002,1.25,2.5,23.5,56.70000000000001,FA_Tim,8212787,observed
0.004703144243868826,0.007522217065456546,0.014154345474215652,0.03882232222425326,0.09003623188405807,SP_ROC,8212787,observed
44.400000000000006,89.25,125,178.25,220.70000000000002,SP_Dur,8212787,observed
151.90000000000003,327.75,437,2912.5,4446,SP_Mag,8212787,observed
121.4,155,227,274.75,286.09999999999997,SP_Tim,8212787,observed
21.7,39.75,108,182.25,251.9,Wet_BFL_Dur,8212787,observed
1.1721000000000001,19.55,23.785,46.50000000000001,111.74500000000012,Wet_BFL_Mag_10,8212787,observed
24.6,175,352.5,1612.5,2163.5000000000005,Wet_BFL_Mag_50,8212787,observed
23,31,96,123.5,188,Wet_Tim,8212787,observed
131.39999999999998,138.5,144,154.5,172.40000000000003,Peak_Tim_10,8212787,observed
49.69999999999999,94.5,136.5,174,214.7,Peak_Tim_2,8212787,observed
126.8,135,146,151,165.60000000000002,Peak_Tim_5,8212787,observed
1,1,4,8,16.600000000000005,Peak_Dur_10,8212787,observed
4.199999999999999,8.75,20,31,81.90000000000008,Peak_Dur_2,8212787,observed
1,2,5,13,15,Peak_Dur_5,8212787,observed
4920,4920,4920,4920,4920,Peak_10,8212787,observed
614,614,614,614,614,Peak_2,8212787,observed
4358,4358,4358,4358,4358,Peak_5,8212787,observed
1,1,1,1.5,2.4000000000000004,Peak_Fre_10,8212787,observed
1,1,2,2.25,3.900000000000002,Peak_Fre_2,8212787,observed
1,1,1,2,2.8000000000000007,Peak_Fre_5,8212787,observed
