Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,SP_ROC,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5
1969,325,165,2.5,3.4,4,5.047374508130089,30,0.1433333333333333,14,6030,151,49,5.720000000000002,22,102,116,145,131.5,1,4,2,6296.000000000002,1470,4524.000000000002,1,3,2
1970,235,179,1.3,3.8,3,95.9406497724973,37,0.21052631578947364,23,346,156,32,3.4,3.4,124,NA,NA,NA,NA,NA,NA,6296.000000000002,1470,4524.000000000002,NA,NA,NA
1971,202,228,1.7,5.8,NA,NA,NA,0.21621621621621628,145,1770,83,35,1.4,8.2,48,NA,69,NA,NA,2,NA,6296.000000000002,1470,4524.000000000002,NA,2,NA
1972,158,303,5.8,11.300000000000011,2,4.018748832146987,7,0.2647058823529412,212,1310,91,27,4.6,7.4,64,NA,NA,NA,NA,NA,NA,6296.000000000002,1470,4524.000000000002,NA,NA,NA
1973,119,322,6.4,9.5,2,13.051538005797994,2,0.21846590909090913,185,1890,137,42,7.6,20.5,95,NA,133,NA,NA,1,NA,6296.000000000002,1470,4524.000000000002,NA,1,NA
1974,155,262,6,8.6,3,78.98694685573824,48,0.12280701754385967,160,1950,102,27,5,8.6,75,NA,98,NA,NA,1,NA,6296.000000000002,1470,4524.000000000002,NA,1,NA
1975,175,298,7,10,3,15.992123526745472,7,0.14285714285714285,88,15,210,159,9.3,12,51,NA,NA,NA,NA,NA,NA,6296.000000000002,1470,4524.000000000002,NA,NA,NA
1976,127,322,10,15,3,16.048207684918044,11,0.15833333333333335,132,22,190,83,7,9.3,107,NA,NA,NA,NA,NA,NA,6296.000000000002,1470,4524.000000000002,NA,NA,NA
1977,119,339,9.3,13,3,25.968888792417363,42,0.3,115,154,224,141,6,10,83,NA,NA,NA,NA,NA,NA,6296.000000000002,1470,4524.000000000002,NA,NA,NA
1978,209,229,14,18,NA,NA,NA,0.054411764705882354,71,6700,158,66,17,45,92,154,151,154,1,5,1,6296.000000000002,1470,4524.000000000002,1,3,1
1979,166,314,20,32.5,3,53.99646662536701,42,0.09090909090909091,132,1450,182,110,18,45,72,NA,136.5,NA,NA,2,NA,6296.000000000002,1470,4524.000000000002,NA,2,NA
1980,153,263,19,25.80000000000001,3,75.99374314547089,19,0.15384615384615385,120,3130,143,29,18,26,114,NA,129,138,NA,6,1,6296.000000000002,1470,4524.000000000002,NA,2,1
1981,69,331,14,21,NA,NA,NA,0.23809523809523808,157,80,174,124,21,28,50,NA,NA,NA,NA,NA,NA,6296.000000000002,1470,4524.000000000002,NA,NA,NA
1982,162,309,17.5,29,1,40.978995395078016,1,0.13043478260869565,113,202,196,162,15,19.5,34,NA,NA,NA,NA,NA,NA,6296.000000000002,1470,4524.000000000002,NA,NA,NA
1983,NA,331,NA,NA,5,41.99923457270286,30,0.044466403162055336,176,9690,155,50,23,58,105,151,135.5,151,1,6,2,6296.000000000002,1470,4524.000000000002,1,4,1
1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,131,287,15,21,NA,NA,NA,0.1111111111111111,166,858,121,97,19,38,24,NA,NA,NA,NA,NA,NA,6296.000000000002,1470,4524.000000000002,NA,NA,NA
1998,145,273,21,25.599999999999994,NA,NA,NA,0.08333333333333333,53,589,220,168,30,55,52,NA,128,145,NA,9,1,6296.000000000002,1470,4524.000000000002,NA,5,1
1999,190,288,18,24,4,68.97514409007175,38,0.10526315789473684,39,45,249,197,23,29,52,NA,NA,NA,NA,NA,NA,6296.000000000002,1470,4524.000000000002,NA,NA,NA
