p10,p25,p50,p75,p90,metric,comid,result_type
112.6,155,200,266,304,DS_Dur_WS,17609015,observed
200,226.5,261.5,311.75,354.5,DS_Tim,17609015,observed
0,0,0.4,4.0875,7.2109999999999985,DS_Mag_50,17609015,observed
0,2.0400000000000005,6,15.53000000000011,41.17200000000001,DS_Mag_90,17609015,observed
2,3,5,9,16,FA_Dur,17609015,observed
3.0104441340645036,4.477612503463746,22.740256799723678,44.443313938824794,169.53263343082617,FA_Mag,17609015,observed
0,1.5,33,48,63.6,FA_Tim,17609015,observed
0.06000617369883242,0.07692307692307698,0.1048951048951049,0.14285714285714285,0.24264595559242527,SP_ROC,17609015,observed
21,32,48,76,183.8,SP_Dur,17609015,observed
5.45,8.942499999999999,41.5,504.5,3335,SP_Mag,17609015,observed
143,171,201,235,252.60000000000002,SP_Tim,17609015,observed
29.6,56.5,89,160.5,197.8,Wet_BFL_Dur,17609015,observed
0.1780000000000002,2.7045000000000003,6.500000000000001,14.226,54.452000000000076,Wet_BFL_Mag_10,17609015,observed
4.14,7.275,19,121.25,748.6000000000005,Wet_BFL_Mag_50,17609015,observed
39.6,69,103.5,124.75,179.2000000000001,Wet_Tim,17609015,observed
104.5,118,130.5,143.5,151.9,Peak_Tim_10,17609015,observed
95.4,113,139.5,149,166.8,Peak_Tim_2,17609015,observed
103,123.375,141.25,156.5,174,Peak_Tim_5,17609015,observed
1,1,2.5,3.25,4.8999999999999995,Peak_Dur_10,17609015,observed
1.8000000000000007,4,12,42,88.20000000000003,Peak_Dur_2,17609015,observed
2,2.75,8,14.25,15.5,Peak_Dur_5,17609015,observed
12740.000000000002,12740.000000000002,12740.000000000002,12740.000000000002,12740.000000000002,Peak_10,17609015,observed
296,296,296,296,296,Peak_2,17609015,observed
3160.0000000000023,3160.0000000000023,3160.0000000000023,3160.0000000000023,3160.0000000000023,Peak_5,17609015,observed
1,1,1,2,2.3,Peak_Fre_10,17609015,observed
1,2,2,4,5,Peak_Fre_2,17609015,observed
1,2,2,4,4.5,Peak_Fre_5,17609015,observed
