comid,metric,p10,p25,p50,p75,p90,source,result_type
20331516,Peak_Dur_2,1,1,3,7,16,inferred,predicted
20331516,Peak_Dur_5,1,1,1,3,4.8,inferred,predicted
20331516,Peak_Fre_2,1,1,2,3,5,inferred,predicted
20331516,Peak_Fre_5,1,1,1,2,3,inferred,predicted
20331516,Peak_10,1066.5501750487101,2466.45260049719,5359.459504930979,7265.9166466856295,9964.9899030088,model,predicted
20331516,Peak_2,114.470466569962,421.397102880135,626.630360115278,1295.4415104586,2472.0560555395,model,predicted
20331516,Peak_5,630.0872,1601.21,2846.57,5139.6179999999995,6487.5740000000005,model,predicted
20331516,DS_Dur_WS,81.4708333333333,125.908333333334,175.833333333333,226.004166666667,274.82,model,predicted
20331516,DS_Mag_50,-7.75663283603123e-15,0,1.46201075973957,5.93501171954864,10.8767303576853,model,predicted
20331516,DS_Mag_90,0.219757332968445,2.02830388845472,5.4715829659916,12.8156661335543,27.0420366495314,model,predicted
20331516,DS_Tim,194.69,220,252.95,282.03125,312.19,model,predicted
20331516,FA_Dur,2,3,4,7,9,obs,predicted
20331516,FA_Mag,7.98835441381586,18.9684192413875,40.3464796316144,94.9353383429464,300.996398859419,model,predicted
20331516,FA_Tim,7.75,21,41.25,55.025,63.125,model,predicted
20331516,Peak_Dur_10,1,1,1,2,3.2,obs,predicted
20331516,Peak_Fre_10,1,1,1,1,2,obs,predicted
20331516,SP_Dur,22.6491666666667,38,63.3458333333333,93.7,132.025,model,predicted
20331516,SP_Mag,19.6023025767619,68.1229202095366,229.062304628752,667.252032571847,1578.29802037123,model,predicted
20331516,SP_ROC,0.0426683716965046,0.055194810813607303,0.0714285714285714,0.102555203630074,0.166666666666667,obs,predicted
20331516,SP_Tim,152.15,160.6,181.5,206,232.935,model,predicted
20331516,Wet_BFL_Dur,36.9833333333333,65.325,105.5,147.879166666666,189.7625,model,predicted
20331516,Wet_BFL_Mag_10,0,1.42523314376257,5.33455089407524,12.8391717922689,20.4642691193062,model,predicted
20331516,Wet_BFL_Mag_50,5.31762161230788,15.1033043333168,29.1896364461519,49.7012096347621,79.8364953967849,model,predicted
20331516,Wet_Tim,30,51.4791666666667,80.5625,101.76875,121.5,model,predicted
