comid,metric,p10,p25,p50,p75,p90,source,result_type
22563032,Peak_Dur_2,1,1,3,8,18.8,inferred,predicted
22563032,Peak_Dur_5,1,1.25,2.5,3,5.7,inferred,predicted
22563032,Peak_Fre_2,1,1,2,3,5,inferred,predicted
22563032,Peak_Fre_5,1,1,1,2,3,inferred,predicted
22563032,Peak_10,3228.27533607341,7525.088560736491,13958.266874129,21615.6702419325,30939.3230076666,model,predicted
22563032,Peak_2,390.719225839246,1130.09176453672,2474.6576540933997,3885.72552917346,5227.023662113689,model,predicted
22563032,Peak_5,1047.546,4239.681,7282.769,10759.79,14297.2,model,predicted
22563032,DS_Dur_WS,83.9875,115.575,159.083333333333,202.416666666667,242.8475,model,predicted
22563032,DS_Mag_50,1.38044208356418,13.4036350779492,35.6196411343101,83.0943087735057,144.053552979075,model,predicted
22563032,DS_Mag_90,10.317082266618,28.4098081687192,68.6863340730624,122.702345931755,203.505269394366,model,predicted
22563032,DS_Tim,233.95,273.075,298.5625,321.4375,342,model,predicted
22563032,FA_Dur,2,2,3,4.5,6.5,obs,predicted
22563032,FA_Mag,35.7286619201338,83.6733727546101,244.400875835504,512.813009569931,957.737380585475,model,predicted
22563032,FA_Tim,7.3,18.6666666666667,41,51,62,model,predicted
22563032,Peak_Dur_10,1,1,1,3,3.6,obs,predicted
22563032,Peak_Fre_10,1,1,1,1,1,obs,predicted
22563032,SP_Dur,35.9916666666666,57.825,87.05,123.39375,155.5125,model,predicted
22563032,SP_Mag,139.418210876182,317.311235640326,679.854475144877,1403.35758376056,2978.3581860722,model,predicted
22563032,SP_ROC,0.0112125536495315,0.0138458831808586,0.0423051409618574,0.0567460317460317,0.0614253234964019,obs,predicted
22563032,SP_Tim,147,167.385416666667,192.5625,222.8125,242.37,model,predicted
22563032,Wet_BFL_Dur,40,69.875,103.8375,141.55,179.35,model,predicted
22563032,Wet_BFL_Mag_10,8.05230453778132,22.8295076984929,51.7079316872525,100.767322951265,179.707001968058,model,predicted
22563032,Wet_BFL_Mag_50,40.3527186570085,82.1313758278276,155.863784982894,263.83545093892,419.399669131532,model,predicted
22563032,Wet_Tim,31.8625,55.775,87.275,102.75,124,model,predicted
