comid,metric,p10,p25,p50,p75,p90,source,result_type
22515762,Peak_Dur_2,1,1,3,6,10,inferred,predicted
22515762,Peak_Dur_5,1,1,1,2,4,inferred,predicted
22515762,Peak_Fre_2,1,1,2,3,5,inferred,predicted
22515762,Peak_Fre_5,1,1,1,2,2,inferred,predicted
22515762,Peak_10,2067.2527720388603,2645.78304434756,4500.14149511527,7373.68788035068,10791.3556770462,model,predicted
22515762,Peak_2,161.285101682488,297.685465858067,575.9381575202871,922.3197980229311,1613.1407970842301,model,predicted
22515762,Peak_5,987.7365,1410.616,1886.756,3188.177,5244.823,model,predicted
22515762,DS_Dur_WS,97.6233333333333,132.791666666667,176.075,220.5,266.525,model,predicted
22515762,DS_Mag_50,0,0.532406742561648,2.37201115628394,5.65927284412675,11.2995802110283,model,predicted
22515762,DS_Mag_90,1.69007135732907,4.53985329167255,11.184745002092,19.8336040738268,30.8421638288203,model,predicted
22515762,DS_Tim,209.45,238.71875,266.416666666667,296.025,324.305,model,predicted
22515762,FA_Dur,2,3,4,6,9,obs,predicted
22515762,FA_Mag,6.12660252415175,11.8855813425766,31.3151707748081,86.4264140317696,174.346494773662,model,predicted
22515762,FA_Tim,9.57833333333333,23.8333333333333,40.75,50.2625,62,model,predicted
22515762,Peak_Dur_10,1,1,1,2,3,obs,predicted
22515762,Peak_Fre_10,1,1,1,1,2,obs,predicted
22515762,SP_Dur,34.3541666666667,56,80,121.65,156.291666666667,model,predicted
22515762,SP_Mag,34.4049062925866,76.713802843431,187.203122198597,475.145383817531,1019.01338905697,model,predicted
22515762,SP_ROC,0.0377445093584334,0.0500000000000001,0.0666666666666667,0.0943396226415094,0.151475888975889,obs,predicted
22515762,SP_Tim,150.3,156.75,175.7,190.48125,214.91,model,predicted
22515762,Wet_BFL_Dur,39.2275,59.9375,84.375,116.833333333333,145.785,model,predicted
22515762,Wet_BFL_Mag_10,1.5837620541867,3.94888328929609,9.29322994401976,18.8138233261992,33.0460959682033,model,predicted
22515762,Wet_BFL_Mag_50,10.5171292319265,18.2987960297493,34.4541445789838,51.6754471581373,92.4191166099886,model,predicted
22515762,Wet_Tim,54.8625,74.3416666666667,88.5,101.38125,110.78,model,predicted
