Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,SP_ROC,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5
1998,NA,294,NA,NA,NA,NA,NA,0.04,104,28,190,109,8.88,14,81,NA,135.5,174,NA,37,1,45.60000000000001,18,33,NA,2,1
1999,52,349,9.2,9.4,NA,NA,NA,0.019999999999999928,281,15,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.60000000000001,18,33,NA,NA,NA
2000,60,358,12,12,NA,NA,NA,0.06666666666666667,275,15,83,48,9.59,10,35,NA,NA,NA,NA,NA,NA,45.60000000000001,18,33,NA,NA,NA
2001,153,224,3.4,7.3,NA,NA,NA,0.07692307692307693,121,15,103,51,11,12,52,NA,355,NA,NA,4,NA,45.60000000000001,18,33,NA,1,NA
2002,191,206,6.8,7.5,3,8.96775595011125,0,0.2615384615384615,20,13,186,175,8.6,11,11,NA,NA,NA,NA,NA,NA,45.60000000000001,18,33,NA,NA,NA
2003,132,285,7.45,12,NA,NA,NA,0.02941176470588238,160,17,125,94,6.7,14,31,NA,NA,NA,NA,NA,NA,45.60000000000001,18,33,NA,NA,NA
2004,194,228,3.8,6.6,NA,NA,NA,0.08655462184873948,84,19,144,93,9.7,14,51,NA,124,NA,NA,39,NA,45.60000000000001,18,33,NA,1,NA
2005,348,297,15,18,NA,NA,NA,0.10703812316715547,13,15,284,228,9.97,13,56,NA,NA,NA,NA,NA,NA,45.60000000000001,18,33,NA,NA,NA
2006,NA,376,NA,NA,NA,NA,NA,0.04006410256410256,50,26,326,47,13,25,279,NA,195,NA,NA,127,NA,45.60000000000001,18,33,NA,5,NA
2007,38,356,3.2,3.4,NA,NA,NA,0.07142857142857142,288,23,68,NA,NA,NA,NA,NA,22,NA,NA,97,NA,45.60000000000001,18,33,NA,2,NA
2008,79,383,3.4,3.7,NA,NA,NA,0.0540540540540541,142,9.1,241,213,6.5,6.9,28,NA,NA,NA,NA,NA,NA,45.60000000000001,18,33,NA,NA,NA
2009,37,398,9.3,9.4,6,11.051244652739578,0,0.025000000000000022,238,7.2,160,81,3.2,6.5,79,NA,NA,NA,NA,NA,NA,45.60000000000001,18,33,NA,NA,NA
2010,217,317,9.7,19,NA,NA,NA,0.14930555555555555,19,32,298,261,6.9,8.2,37,NA,304,286,NA,33,8,45.60000000000001,18,33,NA,3,1
2011,NA,399,NA,NA,6,26.01635190300334,2,0.025,66,59,333,165,14.680000000000026,36,168,290,32,214,55,195,141,45.60000000000001,18,33,2,3,3
2012,62,316,4.7,6.2,NA,NA,NA,0.043478260869565064,313,33,3,NA,NA,NA,NA,NA,153.5,3,NA,17,2,45.60000000000001,18,33,NA,2,1
2013,46,336,3.2,3.4,NA,NA,NA,0.03077651515151511,300,9.9,36,24,3.4,3.5,12,NA,NA,NA,NA,NA,NA,45.60000000000001,18,33,NA,NA,NA
2014,207,173,6.3,6.6,NA,NA,NA,0.46473004694835685,16,12,157,141,3.4,8.5,16,NA,NA,NA,NA,NA,NA,45.60000000000001,18,33,NA,NA,NA
2015,49,352,5.8,10,NA,NA,NA,0.04083333333333334,175,14,177,163,8.7,12,14,NA,NA,NA,NA,NA,NA,45.60000000000001,18,33,NA,NA,NA
2016,226,275,10,11,7,15.084931856567247,17,0.022222222222222143,208,11,67,32,4.4,9.6,35,NA,NA,NA,NA,NA,NA,45.60000000000001,18,33,NA,NA,NA
2017,243,332,9.2,20,NA,NA,NA,0.05131578947368421,15,28,317,182,9.9,18,135,309,264.5,307,1,133,5,45.60000000000001,18,33,1,6,1
2018,NA,410,NA,NA,2,25.02552617922502,0,0.03774928774928775,147,52,263,54,10,51,209,229,25,280,56,167,111,45.60000000000001,18,33,1,3,2
2019,19,376,16,16,NA,NA,NA,0.05718954248366013,48,19,328,NA,NA,NA,NA,NA,151.5,NA,NA,56,NA,45.60000000000001,18,33,NA,2,NA
2020,89,296,6.6,16,NA,NA,NA,0.06904761904761905,121,16,175,156,5.8,14,19,NA,135,NA,NA,8,NA,45.60000000000001,18,33,NA,2,NA
