p10,p25,p50,p75,p90,metric,comid,result_type
100,186,218,259,311,DS_Dur_WS,2808553,observed
181.60000000000002,205,253,326,348.4,DS_Tim,2808553,observed
0,0.1,0.3,1.03,9.5,DS_Mag_50,2808553,observed
0.43,0.81,3,9.900000000000006,16.2,DS_Mag_90,2808553,observed
2,3,4,5.5,7,FA_Dur,2808553,observed
1.2575652882775714,2.381782370062555,10.551882073558298,15.506367426666042,57.01345133193943,FA_Mag,2808553,observed
1,13,41,53,72,FA_Tim,2808553,observed
0.050769230769230816,0.07142857142857148,0.0954545454545454,0.14285714285714282,0.18802631578947376,SP_ROC,2808553,observed
17.6,23,46,132,171.20000000000002,SP_Dur,2808553,observed
7.000000000000001,12.25,196,650,1402,SP_Mag,2808553,observed
125.20000000000002,155,180,206.5,275.4,SP_Tim,2808553,observed
19.6,32.5,65,94.5,178.99999999999997,Wet_BFL_Dur,2808553,observed
0.22160000000000005,0.47050000000000003,1.154,3.9,8.180000000000001,Wet_BFL_Mag_10,2808553,observed
0.98,3.4,11.3,37,128.79999999999995,Wet_BFL_Mag_50,2808553,observed
40.2,76,102,124,160.4,Wet_Tim,2808553,observed
113.8,125.25,134,144.75,153.89999999999998,Peak_Tim_10,2808553,observed
110,129.5,140.5,153.5,170,Peak_Tim_2,2808553,observed
115.1,124,133,144,149.4,Peak_Tim_5,2808553,observed
1,1,1,1,3,Peak_Dur_10,2808553,observed
3,4,7,14,23,Peak_Dur_2,2808553,observed
1,1,1,2,4,Peak_Dur_5,2808553,observed
2370,2370,2370,2370,2370,Peak_10,2808553,observed
371,371,371,371,371,Peak_2,2808553,observed
1960,1960,1960,1960,1960,Peak_5,2808553,observed
1,1,1,1,2.0999999999999996,Peak_Fre_10,2808553,observed
1,1,2,4,5,Peak_Fre_2,2808553,observed
1,1,1,1,2,Peak_Fre_5,2808553,observed
