Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,SP_ROC,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5
2001,224,275,0.33,0.6370000000000002,NA,NA,NA,0.06666666666666672,68,5.8,207,59,0.6880000000000001,1.5,148,NA,NA,NA,NA,NA,NA,53.03000000000001,6.59,36.46,NA,NA,NA
2002,100,322,0.155,0.58,NA,NA,NA,0.08771929824561392,128,5.96,194,61,0.24,1.58,133,NA,185,NA,NA,1,NA,53.03000000000001,6.59,36.46,NA,1,NA
2003,144,376,0.35,0.67,8,4.30749780814674,38,0.0833333333333333,167,4.31,209,153,0.522,1.36,56,NA,NA,NA,NA,NA,NA,53.03000000000001,6.59,36.46,NA,NA,NA
2004,175,342,0.5,0.8319999999999999,NA,NA,NA,0.07692307692307698,165,6.8,177,33,0.62,3.39,144,NA,170.5,NA,NA,4,NA,53.03000000000001,6.59,36.46,NA,2,NA
2005,144,296,0.495,0.8970000000000002,NA,NA,NA,0.07189542483660137,65,19.9,231,80,2.707,9.02,151,NA,182,NA,NA,58,NA,53.03000000000001,6.59,36.46,NA,5,NA
2006,207,261,0.51,1.364,4,3.170299438933961,61,0.05594258855128423,49,33.9,212,138,0.887,3.4400000000000004,74,91,132.5,91,1,65,1,53.03000000000001,6.59,36.46,1,6,1
2007,177,332,0.35,0.8680000000000001,NA,NA,NA,0.09404481132075479,161,1.92,171,69,0.6,0.67,102,NA,NA,NA,NA,NA,NA,53.03000000000001,6.59,36.46,NA,NA,NA
2008,164,339,0.3,0.48700000000000015,NA,NA,NA,0.12792056074766353,139,5.48,200,57,0.798,2.61,143,NA,NA,NA,NA,NA,NA,53.03000000000001,6.59,36.46,NA,NA,NA
2009,218,308,0.3,0.7030000000000001,NA,NA,NA,0.12280701754385957,103,3.33,205,68,0.455,1.61,137,NA,NA,NA,NA,NA,NA,53.03000000000001,6.59,36.46,NA,NA,NA
2010,176,341,1.1150000000000002,1.71,3,2.411800330358437,12,0.08514492753623189,122,12.3,219,59,1.2500000000000002,5.11,160,NA,197.5,NA,NA,33,NA,53.03000000000001,6.59,36.46,NA,4,NA
2011,94,286,0.655,1.27,5,1.8484501479194493,4,0.0474040632054176,64,22,222,71,2.76,13.5,151,NA,205.5,166,NA,73,1,53.03000000000001,6.59,36.46,NA,4,1
2012,NA,309,NA,NA,NA,NA,NA,0.05882352941176463,124,2.31,185,171,0.64,0.89,14,NA,NA,NA,NA,NA,NA,53.03000000000001,6.59,36.46,NA,NA,NA
2013,51,330,0.07,0.13,4,2.02155187637168,60,0.09999999999999998,156,1.98,174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.03000000000001,6.59,36.46,NA,NA,NA
2014,NA,324,NA,NA,NA,NA,NA,0.1,189,1.52,135,120,0.2,0.31,15,NA,NA,NA,NA,NA,NA,53.03000000000001,6.59,36.46,NA,NA,NA
2015,137,329,0.14,0.44,NA,NA,NA,0.25000000000000006,91,0.73,238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.03000000000001,6.59,36.46,NA,NA,NA
2016,215,272,0.26,1.1839999999999997,NA,NA,NA,0.05643879173290933,49,15.9,223,123,0.84,2.76,100,NA,161,NA,NA,14,NA,53.03000000000001,6.59,36.46,NA,5,NA
2017,231,289,0.95,1.25,NA,NA,NA,0.05345085053889102,69,54,220,99,7.478,26.3,121,173.5,114,186.5,3,126,30,53.03000000000001,6.59,36.46,2,2,6
2018,190,321,0.405,0.8409999999999999,4,3.9970815332939313,46,0.05688622754491016,129,21.7,192,38,0.966,4.635,154,NA,179,172,NA,25,1,53.03000000000001,6.59,36.46,NA,3,1
2019,115,283,0.62,0.7760000000000001,NA,NA,NA,0.05164319248826286,72,36.3,211,66,1.975,6.36,145,NA,159,NA,NA,58,NA,53.03000000000001,6.59,36.46,NA,2,NA
2020,52,346,0.52,0.61,NA,NA,NA,0.10714285714285723,137,1.76,209,177,0.59,0.71,32,NA,NA,NA,NA,NA,NA,53.03000000000001,6.59,36.46,NA,NA,NA
