Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,SP_ROC,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5
1941,191,245,3.8,19,NA,NA,NA,0.05825242718446602,55,5520,190,87,284.8,1040,103,154,150,142.5,1,29,3,7975,1755,5650,1,9,2
1942,204,266,10,127.70000000000002,7,4.009925907404833,20,0.07692307692307693,65,520,201,131,45,142,70,NA,102,NA,NA,3,NA,7975,1755,5650,NA,2,NA
1943,265,223,0,16.599999999999994,3,195.9867129958399,25,0.062364987470837296,60,10500,163,59,22,810,104,159,121,136,1,10,4,7975,1755,5650,1,3,2
1944,277,201,0,20,8,6.607107770104076,67,0.06653610131871002,41,2770,160,38,29.5,126,122,NA,152,NA,NA,4,NA,7975,1755,5650,NA,3,NA
1945,206,226,2.5,21,10,7.396475382251638,67,0.07142857142857142,46,1490,180,68,11,72.5,112,NA,124,NA,NA,1,NA,7975,1755,5650,NA,1,NA
1946,181,226,0,1.4,0,29.092729144421046,3,0.07142857142857142,41,1220,185,119,18,31,66,NA,NA,NA,NA,NA,NA,7975,1755,5650,NA,NA,NA
1947,NA,218,NA,NA,NA,NA,NA,0.11223776223776222,32,26,186,145,13,26,41,NA,NA,NA,NA,NA,NA,7975,1755,5650,NA,NA,NA
1948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,184,226,0,0.4400000000000034,NA,NA,NA,0.11805555555555555,32,214,194,79,13.600000000000001,53,115,NA,128,NA,NA,1,NA,7975,1755,5650,NA,1,NA
1951,208,241,0,0,NA,NA,NA,0.11964285714285713,81,118,160,116,8,58,44,NA,NA,NA,NA,NA,NA,7975,1755,5650,NA,NA,NA
1952,195,233,0,1.5,2,617.9549410958313,65,0.07561463693539165,61,2860,172,89,72.2,320,83,NA,116,106,NA,11,1,7975,1755,5650,NA,5,1
1953,235,242,0,0,NA,NA,NA,0.1464285714285714,28,160,214,152,14,40,62,NA,99,NA,NA,1,NA,7975,1755,5650,NA,1,NA
1954,175,287,0,0,NA,NA,NA,0.1250000000000001,102,583,185,74,9.120000000000001,56.5,111,NA,NA,NA,NA,NA,NA,7975,1755,5650,NA,NA,NA
1955,196,246,0,0,NA,NA,NA,0.12077294685990335,23,40,223,127,3.6600000000000006,33,96,NA,NA,NA,NA,NA,NA,7975,1755,5650,NA,NA,NA
1956,265,239,0,0.5,NA,NA,NA,0.09523809523809523,117,3410,122,46,0,115.5,76,NA,100,NA,NA,4,NA,7975,1755,5650,NA,2,NA
1957,192,286,0,0,NA,NA,NA,0.23529411764705882,50,145,236,98,0.9,14,138,NA,NA,NA,NA,NA,NA,7975,1755,5650,NA,NA,NA
1958,NA,230,NA,NA,NA,NA,NA,0.08333333333333333,41,6270,189,77,112.8,560,112,184,165,185,1,21,5,7975,1755,5650,1,7,2
1959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,200,279,0,0,NA,NA,NA,0.08862026485987065,119,1270,160,39,0.2,649,121,NA,136,NA,NA,8,NA,7975,1755,5650,NA,3,NA
