p10,p25,p50,p75,p90,metric,comid,result_type
64,91,131,152,187.8,DS_Dur_WS,22557960,observed
259.6,283,314,330,356,DS_Tim,22557960,observed
0.054000000000000006,0.33,0.7,1,1.4930000000000003,DS_Mag_50,22557960,observed
0.5204000000000004,1,1.6,2.93,3.9768000000000017,DS_Mag_90,22557960,observed
2,2,3,4,5,FA_Dur,22557960,observed
1.324712449096538,1.5299245722210062,2.377290679865222,5.847818590522476,15.581596317817326,FA_Mag,22557960,observed
0,1,6,14,29.000000000000007,FA_Tim,22557960,observed
0.15714285714285708,0.2,0.29032258064516125,0.48387096774193544,0.6872146012555221,SP_ROC,22557960,observed
27.000000000000004,88,135,167,179.60000000000002,SP_Dur,22557960,observed
2.915,6.02,45,130.5,426,SP_Mag,22557960,observed
138.5,151.75,184,210.5,240,SP_Tim,22557960,observed
36.8,68,102,149,187.20000000000002,Wet_BFL_Dur,22557960,observed
0,0.02,0.4,1.788,4.320200000000001,Wet_BFL_Mag_10,22557960,observed
0.328,0.64,1,5.55,8.360000000000003,Wet_BFL_Mag_50,22557960,observed
24.800000000000004,37,54,90,121.60000000000004,Wet_Tim,22557960,observed
91,100.625,107.25,126.25,141,Peak_Tim_10,22557960,observed
88.7,102.375,132,154,168.6,Peak_Tim_2,22557960,observed
101.19999999999999,121,132.5,148.875,162.15,Peak_Tim_5,22557960,observed
1,1.25,2.5,3,3,Peak_Dur_10,22557960,observed
1,2,4,6,8.600000000000001,Peak_Dur_2,22557960,observed
1,1.75,3,3.25,5.800000000000001,Peak_Dur_5,22557960,observed
692.4000000000003,692.4000000000003,692.4000000000003,692.4000000000003,692.4000000000003,Peak_10,22557960,observed
116.5,116.5,116.5,116.5,116.5,Peak_2,22557960,observed
380.6000000000002,380.6000000000002,380.6000000000002,380.6000000000002,380.6000000000002,Peak_5,22557960,observed
1,1,1,1.75,2,Peak_Fre_10,22557960,observed
1,1,2.5,4,5,Peak_Fre_2,22557960,observed
1,1,2,2.5,4,Peak_Fre_5,22557960,observed
