p10,p25,p50,p75,p90,metric,comid,result_type
75,100,135,172.75,180.5,DS_Dur_WS,17575785,observed
218.6,256,286,320,332.8,DS_Tim,17575785,observed
7.9575000000000005,15.537499999999998,23.15,29,36.575,DS_Mag_50,17575785,observed
15.225000000000001,23.584999999999997,35.29,48.725,62.480000000000004,DS_Mag_90,17575785,observed
2,2.25,3,4.75,6.300000000000001,FA_Dur,17575785,observed
13.3267237579969,42.75106056811647,53.97509307199439,81.16524419556592,195.76292970598104,FA_Mag,17575785,observed
0.7000000000000002,4.25,14,19.75,43.5,FA_Tim,17575785,observed
0.038962526591392564,0.0430157261794634,0.056000000000000036,0.1259842519685039,0.1506940951812798,SP_ROC,17575785,observed
21.6,34,59,94,121.19999999999999,SP_Dur,17575785,observed
26.84,39.7,88.2,201,1283.9999999999998,SP_Mag,17575785,observed
149.6,176,216,233,275,SP_Tim,17575785,observed
73.5,102.75,164,189.75,218.5,Wet_BFL_Dur,17575785,observed
15.175,21.39,31.92,45.5925,55,Wet_BFL_Mag_10,17575785,observed
23.775,31.325000000000003,55.05,76.15,90.1,Wet_BFL_Mag_50,17575785,observed
20.5,30.75,49.5,72,83.5,Wet_Tim,17575785,observed
119.8,123.25,129,149.5,161.79999999999998,Peak_Tim_10,17575785,observed
82,97,119,137,146,Peak_Tim_2,17575785,observed
108,119.75,135,162.25,171.5,Peak_Tim_5,17575785,observed
1.9999999999999998,3.5,6,10.5,13.199999999999998,Peak_Dur_10,17575785,observed
1,1,3,3.5,14.199999999999994,Peak_Dur_2,17575785,observed
1,1,1,6.25,12,Peak_Dur_5,17575785,observed
2291.9999999999995,2291.9999999999995,2291.9999999999995,2291.9999999999995,2291.9999999999995,Peak_10,17575785,observed
1000,1000,1000,1000,1000,Peak_2,17575785,observed
1968.0000000000005,1968.0000000000005,1968.0000000000005,1968.0000000000005,1968.0000000000005,Peak_5,17575785,observed
1.4,2,3,3.5,3.8,Peak_Fre_10,17575785,observed
1,1,1,3,4.799999999999999,Peak_Fre_2,17575785,observed
1,1,1,3.25,4.5,Peak_Fre_5,17575785,observed
