p10,p25,p50,p75,p90,metric,comid,result_type
120.9,156.25,252.5,318.5,357.2,DS_Dur_WS,17575859,observed
46.800000000000004,121.5,278,334.75,354.70000000000005,DS_Tim,17575859,observed
5.0600000000000005,6.425,7.5,8.549999999999999,9.591000000000001,DS_Mag_50,17575859,observed
7.7753,8.703000000000001,13.800000000000011,46.5,274.03999999999996,DS_Mag_90,17575859,observed
1.0999999999999996,2,3,5,7,FA_Dur,17575859,observed
20.97856377758691,66.18066892133729,210.99900582885033,354.2644306975096,410.9997637878752,FA_Mag,17575859,observed
0,0,2,10,59.400000000000034,FA_Tim,17575859,observed
0.009810091560362702,0.030086580086580085,0.06037621359223301,0.09898919484140815,0.20248679319115634,SP_ROC,17575859,observed
15.8,20,46,96,166.8,SP_Dur,17575859,observed
57.2,197.25,282.5,386.25,445.00000000000006,SP_Mag,17575859,observed
0,12.25,203.5,281.5,325.5,SP_Tim,17575859,observed
20.3,23,41,105.5,194.7,Wet_BFL_Dur,17575859,observed
2.873,6.66,7.906,11.925,38.3,Wet_BFL_Mag_10,17575859,observed
7.832000000000001,16.25,47,242.25,369.7999999999999,Wet_BFL_Mag_50,17575859,observed
27,42,144,204,242.8,Wet_Tim,17575859,observed
143.5,288.375,324.25,354.5,362,Peak_Tim_10,17575859,observed
35.7,162.375,192.75,271.5,341.1,Peak_Tim_2,17575859,observed
164.4,208.5,266.5,341.75,351.65,Peak_Tim_5,17575859,observed
2.4,3,8,9,11.999999999999998,Peak_Dur_10,17575859,observed
1.9000000000000004,6.25,17.5,26.25,35,Peak_Dur_2,17575859,observed
1.1,2,8.5,14.25,24,Peak_Dur_5,17575859,observed
505.1,505.1,505.1,505.1,505.1,Peak_10,17575859,observed
353,353,353,353,353,Peak_2,17575859,observed
445.4000000000001,445.4000000000001,445.4000000000001,445.4000000000001,445.4000000000001,Peak_5,17575859,observed
1,1,1,1,2.5,Peak_Fre_10,17575859,observed
1,1,1.5,2,3,Peak_Fre_2,17575859,observed
1,1,1,1.25,2,Peak_Fre_5,17575859,observed
