Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,SP_ROC,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5
1931,193,367,0,30,NA,NA,NA,0.06066176470588235,126,102,241,216,0,5,25,NA,NA,NA,NA,NA,NA,456.70000000000005,249.5,365.79999999999995,NA,NA,NA
1932,240,349,0,18,3,14.165648964155722,1,0.14725755166931637,111,300,238,45,4.4,144,193,NA,230,NA,NA,6,NA,456.70000000000005,249.5,365.79999999999995,NA,2,NA
1933,185,342,0,0,2,14.998135702737128,0,0.1834733893557423,39,205,303,80,0,35,223,NA,NA,NA,NA,NA,NA,456.70000000000005,249.5,365.79999999999995,NA,NA,NA
1934,187,366,0,0,NA,NA,NA,0.1,85,188,281,120,0,24,161,NA,NA,NA,NA,NA,NA,456.70000000000005,249.5,365.79999999999995,NA,NA,NA
1935,NA,358,NA,NA,NA,NA,NA,0.07692307692307693,50,165,308,121,0,116,187,NA,NA,NA,NA,NA,NA,456.70000000000005,249.5,365.79999999999995,NA,NA,NA
1936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1937,NA,274,NA,NA,NA,NA,NA,0.3,30,134,244,85,74,83,159,NA,NA,NA,NA,NA,NA,456.70000000000005,249.5,365.79999999999995,NA,NA,NA
1938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,NA,275,NA,NA,NA,NA,NA,0.03418803418803419,44,168,231,211,0,0,20,NA,189.5,NA,NA,6,NA,456.70000000000005,249.5,365.79999999999995,NA,2,NA
