p10,p25,p50,p75,p90,metric,comid,result_type
90,131,188,215,242.4,DS_Dur_WS,17574705,observed
202.9,231,271,298,335.4,DS_Tim,17574705,observed
0.52,1.05,12,25.5,28,DS_Mag_50,17574705,observed
1.12,3.725,22.200000000000003,33.900000000000006,49.800000000000004,DS_Mag_90,17574705,observed
3,4,5,6,8,FA_Dur,17574705,observed
2.606691846542805,5.7682845857336416,46.98678903236403,114.98947120445948,271.9917976627844,FA_Mag,17574705,observed
3,37,41,51,67,FA_Tim,17574705,observed
0.033862889983579635,0.04839800095046834,0.06936647955092218,0.08423913043478258,0.20555555555555574,SP_ROC,17574705,observed
26,41.5,62,109.25,181.20000000000005,SP_Dur,17574705,observed
10.16,43,145.5,855,5353.000000000001,SP_Mag,17574705,observed
137.3,157.5,183,218.5,245.8,SP_Tim,17574705,observed
39.6,54.5,101,159.5,210.8,Wet_BFL_Dur,17574705,observed
1.1840000000000002,3.96,20,34.4,42.40000000000001,Wet_BFL_Mag_10,17574705,observed
2.13,15,35,61.75,121.80000000000007,Wet_BFL_Mag_50,17574705,observed
21.6,38.5,74,102,119.00000000000003,Wet_Tim,17574705,observed
93.8,101,131,142.5,147.6,Peak_Tim_10,17574705,observed
76.3,100,131,150.125,166.10000000000002,Peak_Tim_2,17574705,observed
98.60000000000001,131,134,141,144.2,Peak_Tim_5,17574705,observed
1,1,2,3,3,Peak_Dur_10,17574705,observed
1,2,5.5,7.75,13.900000000000002,Peak_Dur_2,17574705,observed
1,1,1,3,3.1999999999999993,Peak_Dur_5,17574705,observed
5946.000000000002,5946.000000000002,5946.000000000002,5946.000000000002,5946.000000000002,Peak_10,17574705,observed
569,569,569,569,569,Peak_2,17574705,observed
4687.999999999999,4687.999999999999,4687.999999999999,4687.999999999999,4687.999999999999,Peak_5,17574705,observed
1,1,1,2,2,Peak_Fre_10,17574705,observed
1,1,2.5,4,5,Peak_Fre_2,17574705,observed
1,1,1,1,2,Peak_Fre_5,17574705,observed
