p10,p25,p50,p75,p90,metric,comid,result_type
55.3,100.25,141.5,189.75,229.10000000000002,DS_Dur_WS,22554826,observed
251.6,280.25,303.5,329,355.7,DS_Tim,22554826,observed
8.870000000000001,12,16,29.75,38.400000000000006,DS_Mag_50,22554826,observed
11.713,14,21.5,37,47.87000000000002,DS_Mag_90,22554826,observed
2,2,3,5,7.399999999999999,FA_Dur,22554826,observed
29.709581010111474,35.242329497976485,57.917323803980665,87.63267747363932,149.53333323837154,FA_Mag,22554826,observed
7.800000000000004,36,60.5,66.25,71.7,FA_Tim,22554826,observed
0.021460335163578127,0.027214714714714722,0.03724511027881815,0.050956877003675016,0.0625,SP_ROC,22554826,observed
69.9,100,128.5,181,210.10000000000002,SP_Dur,22554826,observed
24,38.25,68.5,137.25,369,SP_Mag,22554826,observed
91.3,135,160,190.75,222.40000000000003,SP_Tim,22554826,observed
24.8,44,70,107,153.4,Wet_BFL_Dur,22554826,observed
12,14.2,20,30,42.28000000000001,Wet_BFL_Mag_10,22554826,observed
17,21,33,58,102.80000000000001,Wet_BFL_Mag_50,22554826,observed
13,43.5,82,115,128.8,Wet_Tim,22554826,observed
71.45,89,122.25,139,150.10000000000002,Peak_Tim_10,22554826,observed
88.2,114,131,151,166.39999999999998,Peak_Tim_2,22554826,observed
82.2,120.25,131,141,158.3,Peak_Tim_5,22554826,observed
1,1,2,3.25,4.9,Peak_Dur_10,22554826,observed
1,1,3,10,31.999999999999993,Peak_Dur_2,22554826,observed
1,1,2,6,10.8,Peak_Dur_5,22554826,observed
1352.0000000000002,1352.0000000000002,1352.0000000000002,1352.0000000000002,1352.0000000000002,Peak_10,22554826,observed
203.5,203.5,203.5,203.5,203.5,Peak_2,22554826,observed
653.6,653.6,653.6,653.6,653.6,Peak_5,22554826,observed
1,1,1,2,2.9000000000000004,Peak_Fre_10,22554826,observed
1,1,2,3,4,Peak_Fre_2,22554826,observed
1,1,1,2,3.8000000000000007,Peak_Fre_5,22554826,observed
