metric,status_code,status,alteration_type,median_in_iqr,comid
DS_Dur_WS,1,likely_unaltered,none_found,FALSE,8933706
DS_Tim,1,likely_unaltered,none_found,TRUE,8933706
DS_Mag_50,1,likely_unaltered,none_found,FALSE,8933706
DS_Mag_90,1,likely_unaltered,none_found,TRUE,8933706
FA_Mag,1,likely_unaltered,none_found,TRUE,8933706
FA_Tim,1,likely_unaltered,none_found,TRUE,8933706
SP_Dur,0,indeterminate,unknown,TRUE,8933706
SP_Mag,-1,likely_altered,low,FALSE,8933706
SP_Tim,1,likely_unaltered,none_found,TRUE,8933706
Wet_BFL_Dur,1,likely_unaltered,none_found,FALSE,8933706
Wet_BFL_Mag_10,1,likely_unaltered,none_found,TRUE,8933706
Wet_BFL_Mag_50,-1,likely_altered,low,FALSE,8933706
Wet_Tim,-1,likely_altered,early,FALSE,8933706
Peak_10,-1,likely_altered,low,FALSE,8933706
Peak_2,-1,likely_altered,low,FALSE,8933706
Peak_5,-1,likely_altered,low,FALSE,8933706
