CLASS,site_no,ref_yr_start,ref_yr_end,ref_por_range,yr_begin,yr_end,yr_total,gagetype,usgs_lon,usgs_lat,huc8
4,11467600,1963,1983,20,1962,1983,21,REF,-123.6302925,38.92629636,18010108
4,11468000,1951,2014,63,1950,2021,71,REF,-123.668069,39.17045608,18010108
4,11468500,1952,2015,63,1951,2021,70,REF,-123.7377917,39.42822378,18010108
4,11468600,1965,1974,9,1964,1973,9,REF,-123.7002934,39.57266134,18010108
4,11468900,2002,2015,13,2001,2021,20,REF,-123.991423,40.139309,18010107
4,11472160,2004,2012,8,2003,2012,9,REF,-123.3980667,39.449329,18010103
4,11473900,1966,2015,49,1965,2021,56,REF,-123.3252913,39.70626687,18010104
4,11474500,1954,2005,51,1953,2005,52,REF,-123.3469626,39.9373742,18010105
4,11475500,1951,1970,19,1946,1970,24,REF,-123.652796,39.71904456,18010106
4,11475560,1968,2015,47,1967,2021,54,REF,-123.6439073,39.7295997,18010106
4,11475800,1966,2015,49,1965,2021,56,REF,-123.7205775,39.8745957,18010106
4,11476500,1951,1981,30,1939,2021,82,REF,-123.7761426,40.18181004,18010106
4,11476600,1961,2015,54,1960,2021,61,REF,-124.0050423,40.351528,18010106
4,11477000,1951,1971,20,1910,2021,111,REF,-124.0997699,40.49152384,18010105
4,11477500,1954,1974,20,1953,1974,21,REF,-123.6580935,40.4845857,18010105
4,11478500,1951,2015,64,1950,2021,71,REF,-123.890876,40.48041636,18010105
4,11481200,1956,2015,59,1955,2021,66,REF,-124.0814555,41.0098479,18010102
4,11481500,1954,2015,61,1953,2021,68,REF,-123.815335,40.90596479,18010102
4,11482110,1981,1992,11,1980,1991,11,REF,-123.8670069,41.060683,18010102
4,11482120,1981,1990,9,1980,1989,9,REF,-123.907564,41.08901555,18010102
4,11482125,1980,1989,9,1979,1991,12,REF,-123.9083973,41.08846,18010102
4,11482200,1971,1982,11,1970,1981,11,REF,-123.9497889,41.1717918,18010102
4,11482500,1954,2015,61,1911,2021,110,REF,-124.0511825,41.2992896,18010102
4,11529000,1951,1968,17,1950,1982,32,REF,-123.5678243,40.841525,18010212
4,11532000,1955,1979,24,1911,1979,68,REF,-124.026187,41.7915024,18010101
4,11532500,1951,2015,64,1931,2021,90,REF,-124.0761887,41.7915026,18010101
5,11377100,1892,1943,51,1891,2021,130,REF,-122.1866645,40.28848836,18020155
6,11110500,1951,1983,32,1930,1983,53,REF,-118.8264837,34.40083045,18070102
6,11115500,1951,1981,30,1927,1988,61,REF,-119.3017809,34.48276995,18070101
6,11117600,1959,1988,29,1958,1988,30,REF,-119.3706722,34.41666158,18070101
6,11117800,1959,1981,22,1958,1988,30,REF,-119.3412265,34.42360587,18070101
6,11120500,1951,2015,64,1941,2021,80,REF,-119.8090283,34.45916286,18060013
6,11124500,1951,2015,64,1941,2021,80,REF,-119.9087519,34.5966563,18060010
6,11128400,1955,1970,15,1954,1972,18,REF,-120.1484816,34.57637614,18060010
6,11141150,1968,1992,24,1967,1992,25,REF,-120.4351621,35.18858618,18060006
6,11141280,1968,2015,47,1967,2021,54,REF,-120.4723857,35.23553035,18060006
6,11143000,1951,2015,64,1950,2021,71,REF,-121.7732872,36.24579648,18060006
6,11143500,1951,1983,32,1942,1983,41,REF,-120.4037709,35.29858465,18060005
6,11148900,1972,2015,43,1971,2021,50,REF,-121.0938048,35.78857918,18060005
6,11151300,1959,2015,56,1958,2021,63,REF,-121.066303,36.26802087,18060005
6,11151870,1962,2015,53,1961,2021,60,REF,-121.4816027,36.23746164,18060005
6,11152900,1962,1982,20,1961,1982,21,REF,-121.327431,37.0499451,18060002
6,11153470,1972,2010,38,1971,2010,39,REF,-121.7683333,37.1483333,18060002
6,11153900,1962,1982,20,1961,1982,21,REF,-121.7182818,37.0927254,18060002
6,11156500,1951,1961,10,1939,2021,82,REF,-121.2029797,36.60940609,18060002
6,11159690,1972,1985,13,1971,1985,14,REF,-121.9060688,37.00161665,18060015
6,11160000,1952,2015,63,1951,2021,70,REF,-121.9557933,36.9913389,18060015
6,11160020,1969,1993,24,1968,1992,24,REF,-122.1449644,37.20661136,18060015
6,11160070,1977,1988,11,1976,1992,16,REF,-122.1227425,37.12661339,18060015
6,11160300,1958,1993,35,1957,1992,35,REF,-122.0469069,37.08605874,18060015
6,11160500,1951,2015,64,1936,2021,85,REF,-122.072464,37.0443931,18060015
6,11162500,1952,2015,63,1951,2021,70,REF,-122.3288602,37.26077707,18050006
6,11162540,1963,1975,12,1962,1974,12,REF,-122.3666399,37.23355579,18050006
6,11162570,1970,2015,45,1969,2021,52,REF,-122.3866404,37.3257762,18050006
6,11169800,1961,2015,54,1960,2021,61,REF,-121.4943832,37.07772286,18050003
6,11180500,1960,2016,56,1916,2021,105,REF,-122.0238504,37.6060452,18050004
6,11180825,1981,1999,18,1980,2021,41,REF,-122.044962,37.69520825,18050004
6,11180960,1979,2015,36,1978,2021,43,REF,-122.0544067,37.71770737,18050004
6,11181000,1951,1966,15,1940,2021,81,REF,-122.064407,37.68548644,18050004
6,11181390,1976,1986,10,1975,1996,21,REF,-122.3383039,37.9532571,18050002
6,11182100,1951,1977,26,1938,1977,39,REF,-122.2463573,37.97242309,18050002
