CLASS,gage,site_id,minYr,maxYr,YrRange,yr_begin,yr_end,yr_total,gagetype
6,11143000,11143000,1951,2015,64,1950,2021,71,REF
6,11143500,11143500,1951,1983,32,1942,1983,41,REF
6,11148900,11148900,1972,2015,43,1971,2021,50,REF
6,11151300,11151300,1959,2015,56,1958,2021,63,REF
6,11151870,11151870,1962,2015,53,1961,2021,60,REF
6,11152900,11152900,1962,1982,20,1961,1982,21,REF
6,11153470,11153470,1972,2010,38,1971,2010,39,REF
6,11153900,11153900,1962,1982,20,1961,1982,21,REF
6,11156500,11156500,1951,1961,10,1939,2021,82,REF
6,11159690,11159690,1972,1985,13,1971,1985,14,REF
6,11160000,11160000,1952,2015,63,1951,2021,70,REF
6,11160020,11160020,1969,1993,24,1968,1992,24,REF
6,11160070,11160070,1977,1988,11,1976,1992,16,REF
6,11160300,11160300,1958,1993,35,1957,1992,35,REF
6,11160500,11160500,1951,2015,64,1936,2021,85,REF
6,11162500,11162500,1952,2015,63,1951,2021,70,REF
6,11162540,11162540,1963,1975,12,1962,1974,12,REF
6,11162570,11162570,1970,2015,45,1969,2021,52,REF
6,11169800,11169800,1961,2015,54,1960,2021,61,REF
6,11180500,11180500,1960,2016,56,1916,2021,105,REF
6,11180825,11180825,1981,1999,18,1980,2021,41,REF
6,11180960,11180960,1979,2015,36,1978,2021,43,REF
6,11181000,11181000,1951,1966,15,1940,2021,81,REF
6,11181390,11181390,1976,1986,10,1975,1996,21,REF
6,11182100,11182100,1951,1977,26,1938,1977,39,REF
6,11182500,11182500,1953,2016,63,1952,2021,69,REF
6,11183000,11183000,1953,1965,12,1952,1973,21,REF
6,11197250,11197250,1962,1986,24,1961,1986,25,REF
6,11199500,11199500,1951,2005,54,1942,2005,63,REF
6,11220500,11220500,1954,1973,19,1953,1973,20,REF
6,11269300,11269300,1960,1980,20,1959,1980,21,REF
6,11274500,11274500,1951,2015,64,1932,2021,89,REF
6,11274630,11274630,1966,2015,49,1965,2021,56,REF
6,11337500,11337500,1954,1983,29,1953,1983,30,REF
6,11371000,11371000,1951,1993,42,1950,1993,43,REF
6,11372000,11372000,1951,1962,11,1940,2021,81,REF
6,11375700,11375700,1957,1980,23,1956,1980,24,REF
6,11449500,11449500,1951,2015,64,1946,2021,75,REF
6,11451100,11451100,1972,2016,44,1971,2021,50,REF
6,11460100,11460100,1966,1986,20,1965,1986,21,REF
6,11464500,11464500,1951,1980,29,1941,1980,39,REF
6,11473100,11473100,1962,1970,8,1961,1969,8,REF
6,11480800,11480800,1958,1974,16,1957,1974,17,REF
6,11522300,11522300,1958,1965,7,1957,1965,8,REF
6,11525530,11525530,2003,2016,13,2002,2021,19,REF
6,11525670,11525670,2005,2016,11,2004,2021,17,REF
6,11528700,11528700,1966,2015,49,1965,2021,56,REF
7,11116000,11116000,1951,1983,32,1928,1983,55,REF
7,11120510,11120510,1971,1981,10,1970,2000,30,REF
7,11120520,11120520,1971,2013,42,1970,2021,51,REF
7,11120550,11120550,1967,1986,19,1966,1986,20,REF
7,11132500,11132500,1951,1988,37,1941,2021,80,REF
7,11138500,11138500,1951,2015,64,1929,2020,91,REF
7,11172100,11172100,1962,1987,25,1961,1987,26,REF
7,11172945,11172945,1995,2015,20,1994,2021,27,REF
7,11173200,11173200,1969,2015,46,1968,2021,53,REF
7,11176400,11176400,1964,2016,52,1963,2021,58,REF
7,11224500,11224500,1951,2015,64,1945,2021,76,REF
7,11253310,11253310,1967,2015,48,1966,2021,55,REF
8,10255800,10255800,1951,1983,32,1950,1983,33,REF
8,11023250,11023250,1978,1987,9,1977,1987,10,REF
8,11023310,11023310,1978,1989,11,1977,1989,12,REF
