p10,p25,p50,p75,p90,metric,comid,result_type,gageid
224.2,245.75,265.5,296.5,327.29999999999995,DS_Tim,17682178,observed,11160020
0.36,0.57,0.74,1.1,1.36,DS_Mag_50,17682178,observed,11160020
0.6062,0.945,1.7,2.930000000000001,3.94,DS_Mag_90,17682178,observed,11160020
3.5,4,5,6.25,7.5,FA_Dur,17682178,observed,11160020
2.079006343341069,2.8448251869817285,3.2722271078693828,4.0417149786102895,4.77990198006143,FA_Mag,17682178,observed,11160020
12,18.75,24.5,39.5,52.5,FA_Tim,17682178,observed,11160020
0.04610389610389614,0.05615079365079364,0.06354166666666669,0.07142857142857145,0.0738720538720539,SP_ROC,17682178,observed,11160020
39.400000000000006,64.25,71.5,104.75,134.5,SP_Dur,17682178,observed,11160020
1.83,6.425,25,85.75,145.89999999999998,SP_Mag,17682178,observed,11160020
155.2,171.5,181,199.25,222,SP_Tim,17682178,observed,11160020
48.60000000000001,58.5,94,154.5,194.60000000000005,Wet_BFL_Dur,17682178,observed,11160020
0.732,0.8705,1.7,3.5900000000000003,6.908000000000002,Wet_BFL_Mag_10,17682178,observed,11160020
1.32,2.425,4.9,16.5,34.400000000000006,Wet_BFL_Mag_50,17682178,observed,11160020
26.200000000000003,39.5,89,107,122.6,Wet_Tim,17682178,observed,11160020
103.8,117,139,145.5,149.39999999999998,Peak_Tim_10,17682178,observed,11160020
111.95,128.75,136,158.125,163.75,Peak_Tim_2,17682178,observed,11160020
121.2,138,139,141,147,Peak_Tim_5,17682178,observed,11160020
1,1,1,1,1,Peak_Dur_10,17682178,observed,11160020
1.3000000000000005,4.75,8.5,10.25,11.9,Peak_Dur_2,17682178,observed,11160020
1,1,3,3,3,Peak_Dur_5,17682178,observed,11160020
420.9999999999999,420.9999999999999,420.9999999999999,420.9999999999999,420.9999999999999,Peak_10,17682178,observed,11160020
87.5,87.5,87.5,87.5,87.5,Peak_2,17682178,observed,11160020
275.20000000000005,275.20000000000005,275.20000000000005,275.20000000000005,275.20000000000005,Peak_5,17682178,observed,11160020
1,1,1,1,1,Peak_Fre_10,17682178,observed,11160020
1.1,2.75,4,4,5.800000000000001,Peak_Fre_2,17682178,observed,11160020
1,1,1,1,1.5999999999999996,Peak_Fre_5,17682178,observed,11160020
132.5,165.25,212.5,228.75,274,DS_Dur_WS,17682322,observed,11160070
208,222,244,253.25,277.5,DS_Tim,17682322,observed,11160070
0.885,0.9675,1.45,1.9,2.2,DS_Mag_50,17682322,observed,11160070
1.4450000000000005,2.0425000000000004,3.8,5.825,7.575,DS_Mag_90,17682322,observed,11160070
2,4,4,6,6.700000000000001,FA_Dur,17682322,observed,11160070
2.1784525603176017,2.684235248001391,7.579347195008855,15.23434236404564,23.98569141360192,FA_Mag,17682322,observed,11160070
12.4,20.5,26,47.5,64.4,FA_Tim,17682322,observed,11160070
0.05877958079783636,0.06016042780748658,0.06350806451612914,0.07211538461538458,0.08333333333333333,SP_ROC,17682322,observed,11160070
38,43.75,49.5,67,90,SP_Dur,17682322,observed,11160070
23,41.25,119,160.25,323.5,SP_Mag,17682322,observed,11160070
168,170.75,179.5,197,218,SP_Tim,17682322,observed,11160070
50,68.5,113,137,171,Wet_BFL_Dur,17682322,observed,11160070
1.5,1.98,3.55,8.585,11.89,Wet_BFL_Mag_10,17682322,observed,11160070
3.1,6.2250000000000005,19,44,54.75,Wet_BFL_Mag_50,17682322,observed,11160070
30.5,35.75,74.5,104.5,120,Wet_Tim,17682322,observed,11160070
99.4,106,117,128,134.6,Peak_Tim_10,17682322,observed,11160070
97.6,105.25,137.25,152.125,155.95,Peak_Tim_2,17682322,observed,11160070
108.2,128,140,143.75,148.70000000000002,Peak_Tim_5,17682322,observed,11160070
1,1,1,1,1,Peak_Dur_10,17682322,observed,11160070
1,1.75,5,8.5,10,Peak_Dur_2,17682322,observed,11160070
1,1,1,1,1,Peak_Dur_5,17682322,observed,11160070
876.5,876.5,876.5,876.5,876.5,Peak_10,17682322,observed,11160070
307,307,307,307,307,Peak_2,17682322,observed,11160070
740,740,740,740,740,Peak_5,17682322,observed,11160070
1,1,1,1,1,Peak_Fre_10,17682322,observed,11160070
1,1.75,2.5,4.5,6,Peak_Fre_2,17682322,observed,11160070
1,1,1,1,1,Peak_Fre_5,17682322,observed,11160070
119.9,150.5,184.5,224.25,260,DS_Dur_WS,17682394,observed,11160300
189.2,222,257,281,298,DS_Tim,17682394,observed,11160300
0.28600000000000003,0.4,0.8500000000000001,1.25,1.7399999999999998,DS_Mag_50,17682394,observed,11160300
0.6679999999999999,1.1100000000000003,2.2950000000000004,4.535,6.079999999999999,DS_Mag_90,17682394,observed,11160300
2,2,4,5,6,FA_Dur,17682394,observed,11160300
1.605203610132276,2.1457178558252257,3.3166964140460973,5.753723526544579,7.407147720369592,FA_Mag,17682394,observed,11160300
6.9,11.5,26,34.25,50,FA_Tim,17682394,observed,11160300
0.04979460847240047,0.0563492063492064,0.06666666666666667,0.07852564102564105,0.11444444444444445,SP_ROC,17682394,observed,11160300
27.799999999999997,37,60,98,126.6,SP_Dur,17682394,observed,11160300
3.4800000000000004,26.5,102,255.5,463.6,SP_Mag,17682394,observed,11160300
141.6,156,179,198.5,222.6,SP_Tim,17682394,observed,11160300
46.8,57.25,100,154,182,Wet_BFL_Dur,17682394,observed,11160300
0.7220000000000001,1,2.0700000000000003,5.612500000000001,7.94,Wet_BFL_Mag_10,17682394,observed,11160300
1.6,3.2,6.949999999999999,19.375,50.39999999999998,Wet_BFL_Mag_50,17682394,observed,11160300
23.500000000000004,37,73.5,97.25,117.7,Wet_Tim,17682394,observed,11160300
103.1,115.25,130.5,145.75,157.9,Peak_Tim_10,17682394,observed,11160300
84.1,110,138.75,155.5,165.25,Peak_Tim_2,17682394,observed,11160300
101.6,114,123.5,139.5,144.8,Peak_Tim_5,17682394,observed,11160300
1,1,1,1,1,Peak_Dur_10,17682394,observed,11160300
1,1,2.5,4,8.600000000000001,Peak_Dur_2,17682394,observed,11160300
1,1,2,2,2,Peak_Dur_5,17682394,observed,11160300
1064,1064,1064,1064,1064,Peak_10,17682394,observed,11160300
309,309,309,309,309,Peak_2,17682394,observed,11160300
806.4000000000004,806.4000000000004,806.4000000000004,806.4000000000004,806.4000000000004,Peak_5,17682394,observed,11160300
1,1,1,1,1,Peak_Fre_10,17682394,observed,11160300
1,1,2,4,5,Peak_Fre_2,17682394,observed,11160300
1,1,2,2,2,Peak_Fre_5,17682394,observed,11160300
140.6,164,186.5,217.5,242.9,DS_Dur_WS,17682474,observed,11160500
202.3,221.5,253,272.25,284.4,DS_Tim,17682474,observed,11160500
12,15,20.5,25,32.715,DS_Mag_50,17682474,observed,11160500
18.322000000000003,27.479999999999997,36.95,57.675,69.97,DS_Mag_90,17682474,observed,11160500
2,3,4,6,7.899999999999999,FA_Dur,17682474,observed,11160500
42.02396381351475,52.97651055093584,88.96857217299205,138.99133209978467,255.58737010281473,FA_Mag,17682474,observed,11160500
9,18.5,30,43.5,50.9,FA_Tim,17682474,observed,11160500
0.02782433271260086,0.03276985111662532,0.03934468524251806,0.04980368482934465,0.06296052631578944,SP_ROC,17682474,observed,11160500
36,43.75,54.5,73,126,SP_Dur,17682474,observed,11160500
119.6,234.75,559.5,1490,3290.0000000000005,SP_Mag,17682474,observed,11160500
146.3,164.75,181,200.25,214.40000000000003,SP_Tim,17682474,observed,11160500
53.5,75.5,106,140.25,156,Wet_BFL_Dur,17682474,observed,11160500
19,27,41.9,80.63499999999999,131.64,Wet_BFL_Mag_10,17682474,observed,11160500
35.6,66.5,115.25,250.75,463.10000000000014,Wet_BFL_Mag_50,17682474,observed,11160500
31.9,50.5,74.5,95.25,113.8,Wet_Tim,17682474,observed,11160500
92.6,112,122,139,161,Peak_Tim_10,17682474,observed,11160500
76.7,94,120.5,132.875,163.75,Peak_Tim_2,17682474,observed,11160500
93.8,112,123,141,158.8,Peak_Tim_5,17682474,observed,11160500
1,1,1,1,2,Peak_Dur_10,17682474,observed,11160500
1,1,2.5,4,5,Peak_Dur_2,17682474,observed,11160500
1,1,1,1,2,Peak_Dur_5,17682474,observed,11160500
7394,7394,7394,7394,7394,Peak_10,17682474,observed,11160500
2925,2925,2925,2925,2925,Peak_2,17682474,observed,11160500
6308,6308,6308,6308,6308,Peak_5,17682474,observed,11160500
1,1,1,1,1.1999999999999993,Peak_Fre_10,17682474,observed,11160500
1,1,2,2,3,Peak_Fre_2,17682474,observed,11160500
1,1,1,1,2,Peak_Fre_5,17682474,observed,11160500
135.8,168,193,225,265.40000000000003,DS_Dur_WS,17688105,observed,11162500
199,217,246,273,289.40000000000003,DS_Tim,17688105,observed,11162500
1.0780000000000003,2.1,3.2,4.93,5.950000000000001,DS_Mag_50,17688105,observed,11162500
3.262,5.626,8.4,14,19.388000000000012,DS_Mag_90,17688105,observed,11162500
2,3,4,5,7,FA_Dur,17688105,observed,11162500
6.3632407077160975,10.94135541011245,17.009319900646883,25.99884447732255,45.00158827255508,FA_Mag,17688105,observed,11162500
6.600000000000001,15.5,32,44,52.400000000000006,FA_Tim,17688105,observed,11162500
0.04033251386807082,0.04653679653679653,0.05718954248366013,0.07092198581560284,0.082,SP_ROC,17688105,observed,11162500
33,42,50,71,123.6,SP_Dur,17688105,observed,11162500
22.200000000000003,124,238,510,1090.0000000000002,SP_Mag,17688105,observed,11162500
141.60000000000002,160,180,199,214.2,SP_Tim,17688105,observed,11162500
52,64,95,129,171.6,Wet_BFL_Dur,17688105,observed,11162500
3.1676,5.200000000000001,8.66,24,37.640000000000015,Wet_BFL_Mag_10,17688105,observed,11162500
8.24,18.5,38,95,169.50000000000003,Wet_BFL_Mag_50,17688105,observed,11162500
32.6,52,74,96,112.40000000000002,Wet_Tim,17688105,observed,11162500
89,94,122,132,156.60000000000002,Peak_Tim_10,17688105,observed,11162500
78.80000000000001,100.5,125,135.25,153.30000000000004,Peak_Tim_2,17688105,observed,11162500
96,106,127,138.75,154.3,Peak_Tim_5,17688105,observed,11162500
1,1,1,1,1,Peak_Dur_10,17688105,observed,11162500
1,1,2,3.5,5.600000000000001,Peak_Dur_2,17688105,observed,11162500
1,1,1,1,2,Peak_Dur_5,17688105,observed,11162500
2468,2468,2468,2468,2468,Peak_10,17688105,observed,11162500
1080,1080,1080,1080,1080,Peak_2,17688105,observed,11162500
1976,1976,1976,1976,1976,Peak_5,17688105,observed,11162500
1,1,1,1,1,Peak_Fre_10,17688105,observed,11162500
1,1,2,2,3,Peak_Fre_2,17688105,observed,11162500
1,1,1,1,1.700000000000001,Peak_Fre_5,17688105,observed,11162500
149.2,164,208,225,258.8,DS_Dur_WS,17694079,observed,11172100
206.5,228.5,243.5,269,299.5,DS_Tim,17694079,observed,11172100
0.097,0.2,0.3,0.465,0.5680000000000001,DS_Mag_50,17694079,observed,11172100
0.4228000000000001,0.65,0.8670000000000002,1.3,2.7,DS_Mag_90,17694079,observed,11172100
2,3,3,5,8.4,FA_Dur,17694079,observed,11172100
1.0763756079943998,1.2019405367298803,1.2819101799116008,1.5504872655310011,2.4722307272637707,FA_Mag,17694079,observed,11172100
9.6,12,25,33,43.6,FA_Tim,17694079,observed,11172100
0.05854072398190045,0.06943521594684389,0.08333333333333329,0.11379683534855944,0.16521739130434784,SP_ROC,17694079,observed,11172100
25.5,29.5,38.5,77,110.5,SP_Dur,17694079,observed,11172100
0.74,3.875,19,49.25,94,SP_Mag,17694079,observed,11172100
161,176.25,195.5,210.5,226,SP_Tim,17694079,observed,11172100
59.8,75,91,135,156.20000000000002,Wet_BFL_Dur,17694079,observed,11172100
0.3416000000000001,0.775,1.52,2.58,3.476,Wet_BFL_Mag_10,17694079,observed,11172100
1.02,2,6.8,14,21.6,Wet_BFL_Mag_50,17694079,observed,11172100
42.2,73,91,105,121.20000000000002,Wet_Tim,17694079,observed,11172100
139.4,140,141,161,172.99999999999997,Peak_Tim_10,17694079,observed,11172100
96.1,121,141,151.5,164.6,Peak_Tim_2,17694079,observed,11172100
98,119.25,138.25,140,141.25,Peak_Tim_5,17694079,observed,11172100
1,1,1,1,1,Peak_Dur_10,17694079,observed,11172100
1,3,4,7,9,Peak_Dur_2,17694079,observed,11172100
1,1.25,2.5,3.75,4.5,Peak_Dur_5,17694079,observed,11172100
369.5,369.5,369.5,369.5,369.5,Peak_10,17694079,observed,11172100
134,134,134,134,134,Peak_2,17694079,observed,11172100
260,260,260,260,260,Peak_5,17694079,observed,11172100
1,1,1,1,1,Peak_Fre_10,17694079,observed,11172100
1,1,2,3,4,Peak_Fre_2,17694079,observed,11172100
1,1.25,2,2,3,Peak_Fre_5,17694079,observed,11172100
161.7,186.75,223.5,259.5,291.70000000000005,DS_Dur_WS,2809859,observed,11173200
177.60000000000002,211,232,251,269.8,DS_Tim,2809859,observed,11173200
0.44400000000000006,0.905,1.91,3.3,3.529,DS_Mag_50,2809859,observed,11173200
2.31,4.094000000000001,7.623000000000001,12.940000000000014,19.390000000000025,DS_Mag_90,2809859,observed,11173200
2,2.75,4,5.25,6.699999999999999,FA_Dur,2809859,observed,11173200
3.969467461469311,7.00808995687708,11.857890155376476,72.74769871076154,111.85038633422803,FA_Mag,2809859,observed,11173200
15.400000000000002,28,40.5,52.5,60.7,FA_Tim,2809859,observed,11173200
0.04868887465300019,0.05330514639025277,0.06122448979591836,0.06961156424129855,0.08443020061599935,SP_ROC,2809859,observed,11173200
19,29,35,47,80.00000000000004,SP_Dur,2809859,observed,11173200
55.40000000000002,123,329,531,1436.000000000001,SP_Mag,2809859,observed,11173200
147.8,166,192,202,213.40000000000003,SP_Tim,2809859,observed,11173200
51,71,87,124.5,144.20000000000002,Wet_BFL_Dur,2809859,observed,11173200
3.32,5.0625,11.79,23.36,44.56400000000002,Wet_BFL_Mag_10,2809859,observed,11173200
9.2,24.425,47.900000000000006,97.2,163.40000000000003,Wet_BFL_Mag_50,2809859,observed,11173200
50.8,73.5,89,104,122,Wet_Tim,2809859,observed,11173200
108.2,119,132.5,145,154,Peak_Tim_10,2809859,observed,11173200
111.7,121.5,129,141.625,164.60000000000002,Peak_Tim_2,2809859,observed,11173200
115.4,119.375,134,146.125,163,Peak_Tim_5,2809859,observed,11173200
1.3,1.75,2,2.25,2.7,Peak_Dur_10,2809859,observed,11173200
1,1,2,4,5,Peak_Dur_2,2809859,observed,11173200
1,1,2.5,3.25,4.6,Peak_Dur_5,2809859,observed,11173200
2484.000000000001,2484.000000000001,2484.000000000001,2484.000000000001,2484.000000000001,Peak_10,2809859,observed,11173200
1480,1480,1480,1480,1480,Peak_2,2809859,observed,11173200
1984.0000000000005,1984.0000000000005,1984.0000000000005,1984.0000000000005,1984.0000000000005,Peak_5,2809859,observed,11173200
1,1,1,1.5,2.4000000000000004,Peak_Fre_10,2809859,observed,11173200
1,1,2,3,3,Peak_Fre_2,2809859,observed,11173200
1,1,2,2.25,3,Peak_Fre_5,2809859,observed,11173200
113.5,141.75,170,212,262,DS_Dur_WS,2803945,observed,11180825
197.2,233,264,282,294.2,DS_Tim,2803945,observed,11180825
0.065,0.16,0.36,0.59,0.75,DS_Mag_50,2803945,observed,11180825
0.21,0.41325,1.0005000000000006,2.1205000000000105,2.8065,DS_Mag_90,2803945,observed,11180825
2,2,4,5,7,FA_Dur,2803945,observed,11180825
1.4856855381699698,2.175660210385022,3.839240089209394,8.849511405892162,28.13964367365379,FA_Mag,2803945,observed,11180825
4,9.5,20,28,33,FA_Tim,2803945,observed,11180825
0.04791259344450831,0.06317460317460323,0.08166666666666665,0.09090909090909098,0.15487117552334934,SP_ROC,2803945,observed,11180825
23.799999999999997,38,66,105,126.59999999999997,SP_Dur,2803945,observed,11180825
4.072,19,49.9,119,194.8,SP_Mag,2803945,observed,11180825
151.6,163,181,204,232.8,SP_Tim,2803945,observed,11180825
54.99999999999999,78,98,152,188.8,Wet_BFL_Dur,2803945,observed,11180825
0.228,0.495,1.02,2.085,5.589999999999999,Wet_BFL_Mag_10,2803945,observed,11180825
0.6599999999999999,1.21,3.94,12.2,24.799999999999994,Wet_BFL_Mag_50,2803945,observed,11180825
26.4,48,72,95,108.79999999999998,Wet_Tim,2803945,observed,11180825
94.9,100.75,114.5,127.5,132,Peak_Tim_10,2803945,observed,11180825
91.5,114,130,137.5,170.6,Peak_Tim_2,2803945,observed,11180825
93.8,101.75,123.25,136,149.5,Peak_Tim_5,2803945,observed,11180825
1,1,1,1,1,Peak_Dur_10,2803945,observed,11180825
1,1.5,3,4,8,Peak_Dur_2,2803945,observed,11180825
1,1,1,1.25,2,Peak_Dur_5,2803945,observed,11180825
566,566,566,566,566,Peak_10,2803945,observed,11180825
178,178,178,178,178,Peak_2,2803945,observed,11180825
474.2000000000001,474.2000000000001,474.2000000000001,474.2000000000001,474.2000000000001,Peak_5,2803945,observed,11180825
1,1,1,1,1,Peak_Fre_10,2803945,observed,11180825
1,1,2,3,5.199999999999999,Peak_Fre_2,2803945,observed,11180825
1,1,1,1,1.2999999999999998,Peak_Fre_5,2803945,observed,11180825
134,156,190,228.5,246,DS_Dur_WS,2803983,observed,11181000
207.8,226.5,245,277,319.80000000000007,DS_Tim,2803983,observed,11181000
0,0.1,0.585,1.3,1.66,DS_Mag_50,2803983,observed,11181000
0.4,1.170000000000003,2.609999999999999,4.815000000000001,7.32,DS_Mag_90,2803983,observed,11181000
2,3,5,6,9.300000000000004,FA_Dur,2803983,observed,11181000
1.598175223465754,3.3582880864877662,7.630931650740891,12.253331582837545,35.06108734075365,FA_Mag,2803983,observed,11181000
3,6.75,17.5,32.75,46.20000000000002,FA_Tim,2803983,observed,11181000
0.04576826552730169,0.05883484162895927,0.0788655788655789,0.12743255196815564,0.16666666666666663,SP_ROC,2803983,observed,11181000
28.200000000000003,39,54,104.5,123.6,SP_Dur,2803983,observed,11181000
5.896,19.5,75.7,160.5,279.0000000000006,SP_Mag,2803983,observed,11181000
147.8,162,188,205.5,234.4,SP_Tim,2803983,observed,11181000
59,79.25,104.5,128,170,Wet_BFL_Dur,2803983,observed,11181000
0.455,0.96275,2.6505,8.73,13.85,Wet_BFL_Mag_10,2803983,observed,11181000
2.405,5.2025,13.75,34.625,54,Wet_BFL_Mag_50,2803983,observed,11181000
33,53.75,79.5,99.25,115,Wet_Tim,2803983,observed,11181000
47.5,90.25,118.5,134,160,Peak_Tim_10,2803983,observed,11181000
67.9,95.5,113.75,131.125,140.60000000000005,Peak_Tim_2,2803983,observed,11181000
82.9,98.5,112,138,177.9,Peak_Tim_5,2803983,observed,11181000
1,1,1,1,2.5,Peak_Dur_10,2803983,observed,11181000
1,1,2,5.25,8.100000000000001,Peak_Dur_2,2803983,observed,11181000
1,1,1,1.25,2,Peak_Dur_5,2803983,observed,11181000
1386.000000000001,1386.000000000001,1386.000000000001,1386.000000000001,1386.000000000001,Peak_10,2803983,observed,11181000
379,379,379,379,379,Peak_2,2803983,observed,11181000
1154,1154,1154,1154,1154,Peak_5,2803983,observed,11181000
1,1,1,1,2,Peak_Fre_10,2803983,observed,11181000
1,1,2,3,5,Peak_Fre_2,2803983,observed,11181000
1,1,1,1,1,Peak_Fre_5,2803983,observed,11181000
134.6,160.25,196.5,219.5,264.7,DS_Dur_WS,2790443,observed,11182500
212.8,236.5,254,266.5,288.8,DS_Tim,2790443,observed,11182500
0,0,0.07,0.2,0.3,DS_Mag_50,2790443,observed,11182500
0.02090000000000003,0.2,0.4045,0.8,1.4,DS_Mag_90,2790443,observed,11182500
2.2,4,5,8.5,13,FA_Dur,2790443,observed,11182500
1.1771550975529803,1.411654795089261,2.2520396033736496,4.149201607657549,10.98834710152813,FA_Mag,2790443,observed,11182500
15,26.5,46,57.5,67,FA_Tim,2790443,observed,11182500
0.04568475452196386,0.05882352941176469,0.06524822695035462,0.10505952380952384,0.25000000000000006,SP_ROC,2790443,observed,11182500
37,44.5,62,83,115.4,SP_Dur,2790443,observed,11182500
1.5,7.05,19.8,32.3,72.6,SP_Mag,2790443,observed,11182500
149.60000000000002,167.5,184,200,212,SP_Tim,2790443,observed,11182500
52,74,98,128,171.2,Wet_BFL_Dur,2790443,observed,11182500
0.044,0.187,0.467,1.6,3.6560000000000006,Wet_BFL_Mag_10,2790443,observed,11182500
0.27,0.9,2.73,7.2,12,Wet_BFL_Mag_50,2790443,observed,11182500
34.4,60,83,100,117,Wet_Tim,2790443,observed,11182500
76,86.5,95,125.5,156.60000000000002,Peak_Tim_10,2790443,observed,11182500
78.7,106.25,130,141,156,Peak_Tim_2,2790443,observed,11182500
77.80000000000001,85,108,132.5,138.4,Peak_Tim_5,2790443,observed,11182500
1,1,1,1,1.4000000000000004,Peak_Dur_10,2790443,observed,11182500
1,1,2,4.75,8.7,Peak_Dur_2,2790443,observed,11182500
1,1,1,1,2,Peak_Dur_5,2790443,observed,11182500
277.1,277.1,277.1,277.1,277.1,Peak_10,2790443,observed,11182500
72.15,72.15,72.15,72.15,72.15,Peak_2,2790443,observed,11182500
187,187,187,187,187,Peak_5,2790443,observed,11182500
1,1,1,1,1.4000000000000004,Peak_Fre_10,2790443,observed,11182500
1,1,2,3,4,Peak_Fre_2,2790443,observed,11182500
1,1,1,1,1.700000000000001,Peak_Fre_5,2790443,observed,11182500
162.6,178.75,208.5,240,272.00000000000006,DS_Dur_WS,2789355,observed,11183000
179,205,229,280,305,DS_Tim,2789355,observed,11183000
0,0.45,1.4,2.1,2.2250000000000005,DS_Mag_50,2789355,observed,11183000
0.79,1.225,4.699999999999999,6.817500000000002,9.55,DS_Mag_90,2789355,observed,11183000
3,3.25,4,5,6.700000000000001,FA_Dur,2789355,observed,11183000
2.73182170019529,4.289129536090721,11.979311672671306,18.74527335360074,28.394759125986653,FA_Mag,2789355,observed,11183000
12.6,18.5,35,45.5,56.500000000000014,FA_Tim,2789355,observed,11183000
0.06365834004834807,0.06666666666666667,0.07549857549857555,0.1111111111111111,0.1724137931034483,SP_ROC,2789355,observed,11183000
19,31,36,62,124,SP_Dur,2789355,observed,11183000
5.5,29,108,225,457,SP_Mag,2789355,observed,11183000
134,153,174,212,236,SP_Tim,2789355,observed,11183000
36.50000000000001,62.25,83,130.25,168.60000000000002,Wet_BFL_Dur,2789355,observed,11183000
0.787,1.16,3.3,5.6,10.723000000000008,Wet_BFL_Mag_10,2789355,observed,11183000
2.27,2.8499999999999996,8.2,25.875,43.00000000000004,Wet_BFL_Mag_50,2789355,observed,11183000
48.9,66.75,87,98.5,111.1,Wet_Tim,2789355,observed,11183000
88.8,97.5,112,117,120,Peak_Tim_10,2789355,observed,11183000
67,95,109,133.5,140.5,Peak_Tim_2,2789355,observed,11183000
73.4,83,112,112,154.59999999999997,Peak_Tim_5,2789355,observed,11183000
1,1,1,1,1,Peak_Dur_10,2789355,observed,11183000
1,2,3,5,6,Peak_Dur_2,2789355,observed,11183000
1,1,1,1,1.5999999999999996,Peak_Dur_5,2789355,observed,11183000
2640,2640,2640,2640,2640,Peak_10,2789355,observed,11183000
514,514,514,514,514,Peak_2,2789355,observed,11183000
1840,1840,1840,1840,1840,Peak_5,2789355,observed,11183000
1,1,1,1,1,Peak_Fre_10,2789355,observed,11183000
1,1.5,2,4,5,Peak_Fre_2,2789355,observed,11183000
1,1,1,1,1.5999999999999996,Peak_Fre_5,2789355,observed,11183000
149.10000000000002,161.75,206,228.5,236.3,DS_Dur_WS,22057147,observed,11220500
224.4,242.5,254.5,267,270.2,DS_Tim,22057147,observed,11220500
0,0,0,0.11625000000000002,0.7200000000000003,DS_Mag_50,22057147,observed,11220500
0.02700000000000103,0.4125,2.210000000000001,3.465000000000001,5.4120000000000035,DS_Mag_90,22057147,observed,11220500
3.4000000000000004,4,6,10.75,15.099999999999998,FA_Dur,22057147,observed,11220500
4.12219939218288,8.58861066179617,25.456764638646774,31.422809320446113,35.39466081635941,FA_Mag,22057147,observed,11220500
32.800000000000004,43.75,45.5,62.5,64.6,FA_Tim,22057147,observed,11220500
0.06213235294117644,0.06700790229885058,0.0950657894736842,0.12824292452830188,0.17681818181818182,SP_ROC,22057147,observed,11220500
26.800000000000004,29.75,52,73.75,95.6,SP_Dur,22057147,observed,11220500
6.430000000000001,42.5,112.5,364.75,704.0000000000007,SP_Mag,22057147,observed,11220500
141,171.75,202,222.25,234.8,SP_Tim,22057147,observed,11220500
56.7,77,107.5,155.75,193,Wet_BFL_Dur,22057147,observed,11220500
0.9400000000000002,1.6125000000000005,2.1,6.124999999999999,12.560000000000008,Wet_BFL_Mag_10,22057147,observed,11220500
4.54,6.7749999999999995,14,27,57.70000000000001,Wet_BFL_Mag_50,22057147,observed,11220500
37.50000000000001,53.75,78,106.25,119.3,Wet_Tim,22057147,observed,11220500
86.3,91.25,99.5,107.75,112.7,Peak_Tim_10,22057147,observed,11220500
93.8,101.375,115.5,131,141.39999999999998,Peak_Tim_2,22057147,observed,11220500
76.05,91.125,114.25,142.5,166.8,Peak_Tim_5,22057147,observed,11220500
2.1,2.25,2.5,2.75,2.9,Peak_Dur_10,22057147,observed,11220500
1,1.25,2.5,6.75,9,Peak_Dur_2,22057147,observed,11220500
1.3,1.75,2.5,3.25,3.7,Peak_Dur_5,22057147,observed,11220500
2403.000000000002,2403.000000000002,2403.000000000002,2403.000000000002,2403.000000000002,Peak_10,22057147,observed,11220500
584.5,584.5,584.5,584.5,584.5,Peak_2,22057147,observed,11220500
1480.000000000001,1480.000000000001,1480.000000000001,1480.000000000001,1480.000000000001,Peak_5,22057147,observed,11220500
1.2000000000000002,1.5,2,2.5,2.8,Peak_Fre_10,22057147,observed,11220500
1,1,1,2.75,4.1,Peak_Fre_2,22057147,observed,11220500
1.3,1.75,2,2.5,3.4000000000000004,Peak_Fre_5,22057147,observed,11220500
93.2,119,158,174,192.6,DS_Dur_WS,17100137,observed,11257500
282.4,291,302,313,316,DS_Tim,17100137,observed,11257500
0.21999999999999992,2.6,5.7,10,14,DS_Mag_50,17100137,observed,11257500
4.435999999999999,11,17,23.200000000000017,39.360000000000014,DS_Mag_90,17100137,observed,11257500
2,3,4,6,7,FA_Dur,17100137,observed,11257500
7.866051472830084,15.001152149853622,27.997059473482494,47.97841405233463,91.99859612079028,FA_Mag,17100137,observed,11257500
1.8000000000000007,11,22,39.5,51.400000000000006,FA_Tim,17100137,observed,11257500
0.03645933014354066,0.0453533530684139,0.0625,0.08021402550091075,0.11788548752834484,SP_ROC,17100137,observed,11257500
42.6,60.5,74,90.5,113,SP_Dur,17100137,observed,11257500
46,98.5,172,276,1036.000000000001,SP_Mag,17100137,observed,11257500
188.8,207,224,244,254.6,SP_Tim,17100137,observed,11257500
86,108.25,138,167.75,199.1,Wet_BFL_Dur,17100137,observed,11257500
17,22.05,36.150000000000006,55.5,82.14000000000001,Wet_BFL_Mag_10,17100137,observed,11257500
41.6,57,103.5,153.375,221.7,Wet_BFL_Mag_50,17100137,observed,11257500
36.3,57.5,90,110.75,120.7,Wet_Tim,17100137,observed,11257500
72.80000000000001,95.75,133.5,160,186.4,Peak_Tim_10,17100137,observed,11257500
89.7,123.75,134.5,160.875,184.2,Peak_Tim_2,17100137,observed,11257500
79.4,113.5,129,140.5,150.4,Peak_Tim_5,17100137,observed,11257500
1,1,1.5,2.25,3,Peak_Dur_10,17100137,observed,11257500
1,1,3,5,9.300000000000004,Peak_Dur_2,17100137,observed,11257500
1,1,1,4,5.6,Peak_Dur_5,17100137,observed,11257500
3276.0000000000005,3276.0000000000005,3276.0000000000005,3276.0000000000005,3276.0000000000005,Peak_10,17100137,observed,11257500
1110,1110,1110,1110,1110,Peak_2,17100137,observed,11257500
2184.0000000000005,2184.0000000000005,2184.0000000000005,2184.0000000000005,2184.0000000000005,Peak_5,17100137,observed,11257500
1,1,1,1.25,2.3,Peak_Fre_10,17100137,observed,11257500
1,1,1.5,3,5,Peak_Fre_2,17100137,observed,11257500
